"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"1",2319.5,2319.5,2319.5,2319.5,1705.5,1524.5,53.5,396.5,2332.5,2280,1699.5,1291.5
"2",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,809,1774,2280,1897,1557
"3",2319.5,2319.5,2319.5,2319.5,1243.5,1962.5,79.5,414.5,1906.5,2280,1442.5,1013.5
"4",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,809,1774,2280,1897,1557
"5",2319.5,2319.5,2319.5,2319.5,1243.5,1962.5,79.5,414.5,1906.5,2280,1442.5,1013.5
"6",2319.5,2319.5,2319.5,2319.5,1705.5,1524.5,53.5,396.5,2332.5,2280,1699.5,1291.5
"7",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,809,1774,2280,1897,1557
"8",2319.5,2319.5,2319.5,2319.5,1243.5,1962.5,79.5,414.5,1906.5,2280,1442.5,1013.5
"9",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,809,1774,2280,1897,1557
"10",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,809,1774,2280,1897,1557
"11",2319.5,2319.5,2319.5,2319.5,1705.5,1524.5,53.5,396.5,2332.5,2280,1699.5,1291.5
"12",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,809,1774,2280,1897,1557
"13",2319.5,2319.5,2319.5,2319.5,1705.5,1524.5,53.5,396.5,2332.5,2280,1699.5,1291.5
"14",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,809,1774,2280,1897,1557
"15",2319.5,2319.5,2319.5,2319.5,1243.5,1962.5,79.5,414.5,1906.5,2280,1442.5,1013.5
"16",2319.5,2319.5,2319.5,2319.5,1705.5,1524.5,53.5,396.5,2332.5,2280,1699.5,1291.5
"17",2319.5,2319.5,2319.5,2319.5,6,297,2390,2392,57,2280,1137,2022
"18",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,803,1768,2280,1882,1541
"19",2319.5,2319.5,2319.5,2319.5,14,411,2391,2393,72,2280,1216.5,2053
"20",2319.5,2319.5,2319.5,2319.5,1243.5,1962.5,79.5,414.5,1906.5,2280,1442.5,1013.5
"21",2319.5,2319.5,2319.5,2319.5,37,108,2223,2150,108,2280,904,1825
"22",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,809,1774,2280,1897,1557
"23",2319.5,2319.5,2319.5,2319.5,1705.5,1524.5,53.5,396.5,2332.5,2280,1699.5,1291.5
"24",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,809,1774,2280,1897,1557
"25",2319.5,2319.5,2319.5,2319.5,1243.5,1962.5,79.5,414.5,1906.5,2280,1442.5,1013.5
"26",2319.5,2319.5,2319.5,2319.5,1705.5,1524.5,53.5,396.5,2332.5,2280,1699.5,1291.5
"27",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,803,1768,2280,1882,1541
"28",2319.5,2319.5,2319.5,2319.5,1705.5,1524.5,53.5,396.5,2332.5,2280,1699.5,1291.5
"29",2319.5,2319.5,2319.5,2319.5,1018.5,2089.5,593.5,803,1768,2280,1882,1541
"241",2319.5,2319.5,2319.5,2319.5,1103.5,750.5,468.5,654,1616.5,2280,890,970
"242",2319.5,2319.5,2319.5,2319.5,374,1131,556,779,1113,2280,658,858
"243",2319.5,2319.5,2319.5,2319.5,458.5,1972.5,754.5,966.5,1199,2280,1275,1149
"244",2319.5,2319.5,2319.5,2319.5,374,1131,556,779,1113,2280,658,858
"245",2319.5,2319.5,2319.5,2319.5,1103.5,750.5,468.5,654,1616.5,2280,890,970
"246",2319.5,2319.5,2319.5,2319.5,458.5,1972.5,754.5,966.5,1199,2280,1275,1149
"247",2319.5,2319.5,2319.5,2319.5,374,1131,556,779,1113,2280,658,858
