"","ARI"
"Purity",0.962316321856253
"Fmeasure",0.796552157274174
"RI",0.999799995510354
"ARI",1
"ball_hall",0.112866890290766
"banfeld_raftery",NA
"c_index",-0.43579417683164
"calinski_harabasz",0.641762362747058
"davies_bouldin",-0.0108434568432802
"det_ratio",-0.0369126551514186
"dunn",-0.165008020160556
"gamma",NA
"g_plus",0.00612893444566485
"gdi11",-0.165008020160556
"gdi12",-0.17509385756612
"gdi13",-0.18843462760766
"gdi21",0.252397360127243
"gdi22",0.2655261457917
"gdi23",0.231509156529896
"gdi31",0.0774562511798523
"gdi32",0.0560008596671167
"gdi33",0.0242650657580332
"gdi41",0.0762420817274602
"gdi42",0.0522908523715593
"gdi43",0.0228483992058022
"gdi51",0.528032055264596
"gdi52",0.618352646490501
"gdi53",0.591490813369889
"ksq_detw",-0.110980971460008
"log_det_ratio",0.289280653150987
"log_ss_ratio",0.639629056289927
"mcclain_rao",-0.300910354903444
"pbm",0.543482436848769
"point_biserial",-0.554796667404807
"ray_turi",0.00423783340189848
"ratkowsky_lance",0.211672511763307
"scott_symons",NA
"sd_scat",-0.471304965953263
"sd_dis",-0.0977784744151975
"s_dbw",NA
"silhouette",0.0407539617431937
"tau",-0.0235915873830121
"trace_w",-0.118199199478204
"trace_wib",0.366830270633304
"wemmert_gancarski",0.244733433711226
"xie_beni",NA
"infomax",0.633194259100138
"Time",0.0563137958655347
