"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"289",946,948,948,948,835,747,543,82.5,576,264.5,497,361
"290",946,947,947,947,607,591,713,848,469,349,793,691
"385",937,946,946,946,852,640,634,82.5,391,264.5,420,326
"386",937,945,945,945,753,236.5,646,778,496,318.5,589,488.5
"387",937,944,944,944,368,236.5,759,772,601,427,559,641
"291",946,942.5,942.5,942.5,549.5,738.5,245.5,415.5,838.5,444,591,431
"292",946,942.5,942.5,942.5,549.5,738.5,245.5,415.5,838.5,443,590,430
"293",937,941,938,941,473,718,295,517,739,395.5,544,426
"388",937,938,938,938,563,694,483,675,633,418.5,714,542
"389",937,938,938,938,563,694,483,675,633,418.5,714,542
"390",937,938,938,938,667.5,297.5,347.5,584.5,670.5,418.5,476.5,427.5
"391",937,938,938,938,563,694,483,675,633,418.5,714,542
"392",937,938,938,938,667.5,297.5,347.5,584.5,670.5,418.5,476.5,427.5
"294",937,935,938,935,328,700,351,551,742,474,553,447
"295",937,934,934,934,292,72,330,482,824,490,314,420
"296",928,933,933,933,486,774,268,421,888,486.5,629.5,455
"297",946,922,932,932,415,138,303,401,825,606,345,423
"298",937,925,931,931,245,355,527,673,681,471.5,462,483
"393",928,923.5,929.5,929.5,685.5,245.5,269.5,465.5,749.5,425.5,403.5,405.5
"394",928,923.5,929.5,929.5,685.5,245.5,269.5,465.5,749.5,425.5,403.5,405.5
"299",919,912,928,928,281,47,370,532,831,511.5,325,437
"97",880.5,929,924,924,800,745,579,82.5,513,244,470,344
"98",880.5,929,924,924,801,680,516,82.5,567,244,438,338
"99",880.5,929,924,924,802,749,623,82.5,476,244,472,348
"100",880.5,929,924,924,803,680,516,82.5,567,244,439,339
"101",880.5,929,924,924,804,733.5,613.5,82.5,483.5,244,468,345
"102",880.5,929,924,924,805,680,516,82.5,567,244,440,340
"103",880.5,929,924,924,806,733.5,613.5,82.5,483.5,244,469,346
"300",937,907,920,920,239,182,519,594,726,577,399.5,484
"104",919,910.5,918.5,918.5,363,462,903,922,458,373.5,724,811
"481",919,910.5,918.5,918.5,372,75,879,926,282,373.5,444,529
"105",880.5,917,913,913,718,827.5,801.5,917.5,439,302,937.5,836.5
"106",880.5,917,913,913,745,620,408,660,653,302,660,452
"107",880.5,917,913,913,718,827.5,801.5,917.5,439,302,937.5,836.5
"108",880.5,917,913,913,733,751,467,706,635,302,799,531
"109",880.5,917,913,913,718,827.5,801.5,917.5,439,302,937.5,836.5
"110",880.5,917,913,913,718,827.5,801.5,917.5,439,302,937.5,836.5
"111",880.5,917,913,913,721,827.5,801.5,917.5,439,307,941,843.5
"112",880.5,917,913,913,718,827.5,801.5,917.5,442,302,940,841
"577",880.5,917,913,913,724,196,727,874,517,307,642,608
"395",919,888,908,908,288,248,449,518,665,576,361,435.5
"396",928,889.5,906.5,906.5,419.5,245.5,338.5,435.5,785.5,505.5,356.5,417.5
