"","ARI"
"Purity",0.940571021753631
"Fmeasure",0.0449292561625329
"RI",0.995690887426188
"ARI",1
"ball_hall",0.0854073725282166
"banfeld_raftery",NA
"c_index",-0.256971593980134
"calinski_harabasz",0.48899851107072
"davies_bouldin",-0.0873761495729669
"det_ratio",0.00550086369033937
"dunn",-0.253553714603146
"gamma",NA
"g_plus",0.0259006437340599
"gdi11",-0.253553714603146
"gdi12",-0.221091709331211
"gdi13",-0.225678031953265
"gdi21",0.234965896633879
"gdi22",0.237909899291506
"gdi23",0.226383419867448
"gdi31",0.105478867301973
"gdi32",0.0887869210882687
"gdi33",0.0782567632650214
"gdi41",0.144623572337855
"gdi42",0.120221404260557
"gdi43",0.110234698363146
"gdi51",0.234567132112141
"gdi52",0.298286114281259
"gdi53",0.28493812987853
"ksq_detw",-0.098924304628657
"log_det_ratio",0.174669168924031
"log_ss_ratio",0.467608912773492
"mcclain_rao",-0.274789944131298
"pbm",0.419674897743914
"point_biserial",-0.431766800230393
"ray_turi",-0.0592325940263312
"ratkowsky_lance",0.0588590637584648
"scott_symons",NA
"sd_scat",-0.301509758855266
"sd_dis",-0.278525097267826
"s_dbw",NA
"silhouette",0.156457292878923
"tau",0.0371905023709837
"trace_w",-0.0204759781147631
"trace_wib",0.260633033300076
"wemmert_gancarski",0.159718463043444
"xie_beni",NA
"infomax",0.384607890977592
"Time",0.0676880794180805
