"","ARI"
"Purity",0.961048755744594
"Fmeasure",0.90506655652919
"RI",0.999869560715781
"ARI",1
"ball_hall",0.0461204531146111
"banfeld_raftery",NA
"c_index",-0.616501924963357
"calinski_harabasz",0.697837634825366
"davies_bouldin",-0.186793888522617
"det_ratio",0.206946903850333
"dunn",-0.0967085687168798
"gamma",NA
"g_plus",0.0921775674307786
"gdi11",-0.0967085687168798
"gdi12",-0.0263083532072194
"gdi13",-0.00621123756212264
"gdi21",0.223894794347246
"gdi22",0.351338548187951
"gdi23",0.37619898344793
"gdi31",0.0878285948468409
"gdi32",0.21530089148083
"gdi33",0.243878652177921
"gdi41",0.18138751045982
"gdi42",0.282083209865722
"gdi43",0.303210766231276
"gdi51",0.328901676247762
"gdi52",0.461991460959588
"gdi53",0.476196236237981
"ksq_detw",-0.131931192479824
"log_det_ratio",0.48576860819457
"log_ss_ratio",0.688355393782688
"mcclain_rao",-0.703575438355861
"pbm",0.587173155097055
"point_biserial",-0.795762707014688
"ray_turi",-0.123742350919659
"ratkowsky_lance",0.237518816855448
"scott_symons",NA
"sd_scat",-0.611166487077119
"sd_dis",-0.494862205950453
"s_dbw",NA
"silhouette",0.06843307809928
"tau",-0.0057440377970068
"trace_w",-0.148846176245442
"trace_wib",0.648954238008024
"wemmert_gancarski",0.496781924741965
"xie_beni",NA
"infomax",0.449850309536849
"Time",-0.0113886801115541
