"","ARI"
"Purity",0.945833148035065
"Fmeasure",-0.116033446532449
"RI",0.996772338475871
"ARI",1
"ball_hall",0.165026625911513
"banfeld_raftery",NA
"c_index",-0.254440929241201
"calinski_harabasz",0.6568611188051
"davies_bouldin",-0.0399480670174455
"det_ratio",0.094322459349818
"dunn",-0.253437346092214
"gamma",NA
"g_plus",-0.0135647327402086
"gdi11",-0.253437346092214
"gdi12",-0.22591636017323
"gdi13",-0.227977137438757
"gdi21",0.57766210470645
"gdi22",0.37945228949513
"gdi23",0.35485732637355
"gdi31",0.0366242705763676
"gdi32",-0.0547862444759164
"gdi33",-0.0648651387821588
"gdi41",0.0745385267327585
"gdi42",-0.0267976703275669
"gdi43",-0.0368512732872613
"gdi51",0.111538744337336
"gdi52",0.0173511794290803
"gdi53",-0.0386713529360697
"ksq_detw",-0.0972540755155547
"log_det_ratio",0.264185104489251
"log_ss_ratio",0.529116106873043
"mcclain_rao",-0.140307216777774
"pbm",0.188086523135258
"point_biserial",-0.415897021077533
"ray_turi",-0.028077131798691
"ratkowsky_lance",0.276424123047831
"scott_symons",NA
"sd_scat",-0.233473547001091
"sd_dis",-0.278251710797462
"s_dbw",0.25769676051845
"silhouette",0.0159595905834082
"tau",0.0286396594650227
"trace_w",-0.059360889389495
"trace_wib",0.0813730532353954
"wemmert_gancarski",0.141757673530099
"xie_beni",0.0576151649229558
"infomax",0.555944690854172
"Time",-0.0211225530996685
