"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"1",882,899.5,897.5,899.5,819,687,384,42.5,385,151.5,304,192
"3",882,899.5,897.5,899.5,821,798,491,42.5,343,151.5,383.5,211
"2",882,896,897.5,896.5,820,322,603,42.5,260,171,212,197
"817",882,896,897.5,896.5,893,671.5,503.5,42.5,332.5,171,372,212
"818",882,898,897.5,896.5,894,544,454,42.5,345,160.5,289.5,198
"819",882,896,897.5,896.5,895,671.5,503.5,42.5,332.5,171,373,213
"4",882,893,890,893,647,610,333,559,438.5,201.5,503.5,283
"5",882,893,890,893,647,610,333,559,438.5,201.5,503.5,283
"6",882,893,890,893,647,610,333,559,437,201.5,502,281
"541",882,888.5,890,888.5,748,96,618,701,296,223.5,407.5,347
"820",882,888.5,890,888.5,577,525,292,552,443,223.5,368.5,250
"821",882,888.5,890,888.5,747,223,710,822,328,223.5,624,558
"822",882,888.5,890,888.5,671,260,539,655,224,223.5,356,274
"823",882,888.5,890,888.5,577,525,292,552,443,223.5,368.5,250
"824",882,888.5,890,888.5,577,525,292,552,443,223.5,368.5,250
"7",824,884.5,884.5,884.5,114,640.5,499.5,603,473.5,295,374.5,344
"8",824,884.5,884.5,884.5,115,640.5,499.5,602,473.5,295,374.5,341
"825",824,883,880.5,883,896,535,466,42.5,340,160.5,289.5,201
"9",824,869.5,880.5,880.5,395,645,223,354,763,393.5,499,329
"10",824,869.5,880.5,880.5,131.5,726.5,461.5,547.5,567.5,393.5,519,466.5
"11",824,869.5,880.5,880.5,131.5,726.5,461.5,547.5,567.5,393.5,519,466.5
"12",824,869.5,880.5,880.5,248,686,313,429,682,393.5,481,375
"253",900,867,880.5,878,167,56,471,541,489,450.5,201,305
"826",882,880,877,877,332,596,370,545,430,271,343,266
"14",824,882,871.5,876,604,385,348,578,402,184,318,239
"13",824,881,871.5,875,437,628,423,634,396,194.5,431.5,292
"542",824,875.5,871.5,870.5,750.5,146.5,615.5,695.5,289.5,212,427.5,336
"543",824,875.5,871.5,870.5,750.5,146.5,615.5,695.5,289.5,212,427.5,336
"544",824,875.5,871.5,870.5,756.5,336.5,787.5,859.5,359.5,212,732.5,701.5
"545",824,875.5,871.5,870.5,750.5,146.5,615.5,695.5,289.5,212,427.5,336
"546",824,875.5,871.5,870.5,756.5,336.5,787.5,859.5,359.5,212,732.5,701.5
"547",824,875.5,871.5,870.5,750.5,146.5,615.5,695.5,289.5,212,427.5,336
"827",824,875.5,871.5,870.5,739.5,355.5,721.5,826.5,324.5,212,684,596.5
"828",824,875.5,871.5,870.5,739.5,355.5,721.5,826.5,324.5,212,684,596.5
"829",882,843,865.5,866,525,239,164,251,764,406.5,250,240
"15",882,838,865.5,865,466,221,199,304,819,500,324.5,303
"349",742,858,859.5,859.5,849,701,554,42.5,334,171,386,220
"350",742,863,859.5,859.5,850,589,577,42.5,318,160.5,340,216
"637",742,858,859.5,859.5,874,783.5,385.5,42.5,428.5,171,410,215
"638",742,863,859.5,859.5,875,411.5,814.5,42.5,355.5,160.5,389,230
"639",742,863,859.5,859.5,876,411.5,814.5,42.5,355.5,160.5,391,231
"640",742,858,859.5,859.5,877,783.5,385.5,42.5,428.5,171,412,217
"641",742,863,859.5,859.5,878,411.5,814.5,42.5,355.5,160.5,392,232
"642",742,863,859.5,859.5,879,411.5,814.5,42.5,355.5,160.5,393,233
"643",742,863,859.5,859.5,880,432,355,42.5,447,160.5,233,190
"644",742,863,859.5,859.5,881,801,439,42.5,412,160.5,461,221
"16",824,847,852.5,853,396.5,794.5,405.5,584,478.5,269,568.5,390
"18",824,847,852.5,853,396.5,794.5,405.5,585,478.5,269,571,393
"445",824,847,852.5,853,598,249,809,852,398,269,680,731
"17",824,817,852.5,851,50,63,730,650,341,412,216,404
"446",742,856,845.5,850,668,429,831,872,320,191,731,698
"181",742,853,845.5,845,408,646,583,661,329,201.5,522,374
"351",742,847,845.5,845,550,758,530,666,364.5,223.5,645.5,433.5
