"","ARI"
"Purity",0.95902218862973
"Fmeasure",0.254781476089815
"RI",0.998128754710182
"ARI",1
"ball_hall",0.235263388443386
"banfeld_raftery",NA
"c_index",-0.517281949052218
"calinski_harabasz",0.729190253379223
"davies_bouldin",-0.104344826587085
"det_ratio",0.243288752789559
"dunn",-0.0652427136933488
"gamma",NA
"g_plus",0.01538129975679
"gdi11",-0.0652427136933488
"gdi12",-0.0899339532726915
"gdi13",-0.0949674829274816
"gdi21",0.403476199755699
"gdi22",0.422921287564057
"gdi23",0.408900654201453
"gdi31",0.368174738904067
"gdi32",0.381032691784299
"gdi33",0.369244716905126
"gdi41",0.4015804200918
"gdi42",0.397143696484785
"gdi43",0.38991228660833
"gdi51",0.278909936806725
"gdi52",0.330849991362449
"gdi53",0.314978220239914
"ksq_detw",0.0535225872825958
"log_det_ratio",0.512657270597685
"log_ss_ratio",0.633522847440295
"mcclain_rao",-0.571741004713287
"pbm",0.636075369689459
"point_biserial",-0.686180662485644
"ray_turi",-0.0372672710631625
"ratkowsky_lance",0.135367213503669
"scott_symons",NA
"sd_scat",-0.509778569192901
"sd_dis",-0.369297831997252
"s_dbw",NA
"silhouette",0.423079173886829
"tau",-0.042482213176613
"trace_w",0.0572670862250225
"trace_wib",0.623223435379454
"wemmert_gancarski",0.450531728813264
"xie_beni",-0.00354652898360941
"infomax",0.405372076328913
"Time",0.0365548770896761
