"","ARI"
"Purity",0.95765545550793
"Fmeasure",0.725240178213145
"RI",0.999670864662843
"ARI",1
"ball_hall",0.0626714585069461
"banfeld_raftery",NA
"c_index",-0.485052917613835
"calinski_harabasz",0.640506737069756
"davies_bouldin",-0.153986936762105
"det_ratio",0.178662445686962
"dunn",-0.137526078536159
"gamma",NA
"g_plus",-0.0599291508191968
"gdi11",-0.137526078536159
"gdi12",-0.128486424199079
"gdi13",-0.117428937527475
"gdi21",0.237438109196187
"gdi22",0.273462689792698
"gdi23",0.281300481291187
"gdi31",0.086956219125491
"gdi32",0.126286137831838
"gdi33",0.142807349503382
"gdi41",0.135923939580467
"gdi42",0.163594886561136
"gdi43",0.177237558757415
"gdi51",0.41138407728605
"gdi52",0.501872817308788
"gdi53",0.500326298645084
"ksq_detw",-0.187238417779606
"log_det_ratio",0.46493741434235
"log_ss_ratio",0.649815852464615
"mcclain_rao",-0.568174899268722
"pbm",0.528551094217447
"point_biserial",-0.645241126032337
"ray_turi",-0.101949478549448
"ratkowsky_lance",0.243762121848464
"scott_symons",NA
"sd_scat",-0.42742159705784
"sd_dis",-0.23715376215326
"s_dbw",-0.148802766295543
"silhouette",0.0535617699914128
"tau",0.076087404531291
"trace_w",-0.197950846092086
"trace_wib",0.569247262819878
"wemmert_gancarski",0.454151023936508
"xie_beni",NA
"infomax",0.517729223144909
"Time",-0.0050299167414381
