"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"289",948,790,948,948,332,176,515,561,765,824,594,792
"385",945,671,945,945,251,310,537,547,666,886,618.5,788
"386",945,671,945,945,251,310,537,547,666,886,618.5,788
"387",945,671,945,945,284,73,487,526,686,886,389,613
"388",945,671,945,945,274,226,490,530,677,886,504,669
"389",945,671,945,945,251,310,537,547,666,886,618.5,788
"577",905.5,592.5,905.5,941.5,447,163,391,475,870,644,415,518
"579",905.5,592.5,905.5,941.5,363,307,410,508,826,644,486,567
"290",905.5,579.5,905.5,934.5,386.5,304.5,484.5,556.5,771.5,727.5,643,703.5
"291",905.5,579.5,905.5,934.5,357,379,513,567,763,727.5,699.5,798
"292",905.5,579.5,905.5,934.5,330.5,519.5,534.5,574.5,731.5,727.5,788.5,854.5
"293",905.5,579.5,905.5,934.5,201.5,149.5,866.5,813.5,551.5,727.5,706,917.5
"294",905.5,579.5,905.5,934.5,386.5,304.5,484.5,556.5,771.5,727.5,643,703.5
"295",905.5,579.5,905.5,934.5,386.5,304.5,484.5,556.5,771.5,727.5,643,703.5
"296",905.5,579.5,905.5,934.5,357,379,513,567,763,727.5,699.5,798
"297",905.5,579.5,905.5,934.5,386.5,304.5,484.5,556.5,771.5,727.5,643,703.5
"298",905.5,579.5,905.5,934.5,330.5,519.5,534.5,574.5,731.5,727.5,788.5,854.5
"299",905.5,579.5,905.5,934.5,201.5,149.5,866.5,813.5,551.5,727.5,706,917.5
"310",905.5,579.5,905.5,934.5,357,379,513,567,763,727.5,699.5,798
"578",905.5,579.5,905.5,934.5,342,287,411,492,843,727.5,521,624
"300",905.5,541,905.5,900,365.5,192.5,488.5,544.5,774.5,824,607.5,759.5
"301",905.5,541,905.5,900,338.5,119.5,517.5,563.5,767.5,824,550.5,735.5
"302",905.5,541,905.5,900,306,216,548,571,742.5,824,623,828.5
"303",905.5,541,905.5,900,196.5,57.5,863.5,808.5,554.5,824,692.5,935.5
"305",905.5,541,905.5,900,306,216,548,571,742.5,824,623,828.5
"306",905.5,541,905.5,900,365.5,192.5,488.5,544.5,774.5,824,607.5,759.5
"307",905.5,541,905.5,900,338.5,119.5,517.5,563.5,767.5,824,550.5,735.5
"308",905.5,541,905.5,900,306,216,548,571,744,824,625,830
"309",905.5,541,905.5,900,196.5,57.5,863.5,808.5,554.5,824,692.5,935.5
"311",905.5,541,905.5,900,196.5,57.5,863.5,808.5,554.5,824,692.5,935.5
"312",905.5,541,905.5,900,196.5,57.5,863.5,808.5,554.5,824,692.5,935.5
"390",905.5,541,905.5,900,312,299,477,520,674,824,526,639
"391",905.5,541,905.5,900,295,333,481,528,669,824,548,650
"392",905.5,541,905.5,900,266,363,519,542,661,824,597,675
"393",905.5,541,905.5,900,312,299,477,520,674,824,526,639
"394",905.5,541,905.5,900,295,333,481,528,669,824,548,650
"396",905.5,541,905.5,900,183,136,880,839,445,824,703,919
"397",905.5,541,905.5,900,312,299,477,520,674,824,526,639
"398",905.5,541,905.5,900,312,299,477,520,674,824,526,639
"399",905.5,541,905.5,900,295,333,481,528,669,824,548,650
"401",905.5,541,905.5,900,312,299,477,520,674,824,526,639
"481",905.5,541,905.5,900,549,629,285,414,851.5,824,878.5,783.5
"482",905.5,541,905.5,900,515.5,641.5,295.5,424.5,832.5,824,869.5,770.5
"483",905.5,541,905.5,900,465,652,315,441,810,824,847,754
"484",905.5,541,905.5,900,299.5,464.5,673.5,661.5,655.5,824,888.5,923.5
"485",905.5,541,905.5,900,549,629,285,414,851.5,824,878.5,783.5
"486",905.5,541,905.5,900,515.5,641.5,295.5,424.5,832.5,824,869.5,770.5
"487",905.5,541,905.5,900,465,652,315,441,810,824,847,754
"488",905.5,541,905.5,900,515.5,641.5,295.5,424.5,832.5,824,869.5,770.5
"489",905.5,541,905.5,900,465,652,315,441,810,824,847,754
"490",905.5,541,905.5,900,549,629,285,414,851.5,824,878.5,783.5
"491",905.5,541,905.5,900,515.5,641.5,295.5,424.5,832.5,824,869.5,770.5
"492",905.5,541,905.5,900,465,652,315,441,810,824,847,754
