"","Purity","Fmeasure","RI","ARI","ball_hall","banfeld_raftery","c_index","calinski_harabasz","davies_bouldin","det_ratio","dunn","gamma","g_plus","gdi11","gdi12","gdi13","gdi21","gdi22","gdi23","gdi31","gdi32","gdi33","gdi41","gdi42","gdi43","gdi51","gdi52","gdi53","ksq_detw","log_det_ratio","log_ss_ratio","mcclain_rao","pbm","point_biserial","ray_turi","ratkowsky_lance","scott_symons","sd_scat","sd_dis","s_dbw","silhouette","tau","trace_w","trace_wib","wemmert_gancarski","xie_beni","infomax","Time"
"hierarch_complete_euclidean_dtaEIdtaHIdtaMEI4",0.9833,0.9661,0.9667,0.9333,0.028030372744795,-214.436076792137,0.0518585458559894,168.219694853932,0.485919917191164,5.43301142799691,0.130838142245188,0.759999990463257,-5.74872310448663e-06,0.130838142245188,0.883059026462737,0.325384907096116,1.59923475773192,10.7936314595605,3.9771800802118,0.848884838494511,5.72933401679745,2.11111461511902,0.82544899037406,5.57115967351771,2.05283137192606,0.200534376322469,1.35345617179263,0.498714352631095,0.139692954990037,101.549614260512,1.06482782201602,0.346938798741477,0.396114511044028,-0.191703120029655,0.0861010293798565,0.598680496195505,NA,0.296392569389638,3.50290936019708,0.367821144011316,0.630063159423514,-5.14814052850491e-05,1.68407638391079,4.4330114279969,0.740555303523501,3.42704720874219,0.99919835426364,0.000128984451293945
"hierarch_average_euclidean_dtaMEIddtaMEId2dtaMEI4",0.9833,0.9661,0.9667,0.9333,0.013687221080149,-257.505552077849,0.0384790999633415,196.070624414441,0.467370935154727,6.7041118758775,0.216040821383172,-0.813333332538605,-4.34348000652579e-05,0.216040821383172,1.18771293309982,0.436552457009333,1.9296032096303,10.6082483539721,3.899138212973,1.04135704651069,5.72499782308138,2.10426425139316,1.02154910319617,5.61610104004684,2.06423845318107,0.23901179730193,1.31399890539874,0.482969777185366,0.0130056806780431,114.163263058186,1.21803191242643,0.33768782910944,0.232539807699047,-0.145481330802073,0.0738707745341484,0.368173110755298,-1081.30788818486,0.192355332422492,4.64025177898414,0.423124564337966,0.633957535941319,5.50941368741609e-05,0.823380926681223,5.7041118758775,0.739022579407582,1.65165564787467,0.99919835426364,0.00012516975402832
"hierarch_ward.D2_euclidean_dtaMEIddtaMEId2dtaMEI4",0.9833,0.9661,0.9667,0.9333,0.013687221080149,-257.505552077849,0.0384790999633415,196.070624414441,0.467370935154727,6.7041118758775,0.216040821383172,-0.813333332538605,-4.34348000652579e-05,0.216040821383172,1.18771293309982,0.436552457009333,1.9296032096303,10.6082483539721,3.899138212973,1.04135704651069,5.72499782308138,2.10426425139316,1.02154910319617,5.61610104004684,2.06423845318107,0.23901179730193,1.31399890539874,0.482969777185366,0.0130056806780431,114.163263058186,1.21803191242643,0.33768782910944,0.232539807699047,-0.145481330802073,0.0738707745341484,0.368173110755298,-1081.30788818486,0.192355332422492,4.64025177898414,0.423124564337966,0.633957535941319,5.50941368741609e-05,0.823380926681223,5.7041118758775,0.739022579407582,1.65165564787467,0.99919835426364,0.000127792358398438
"hierarch_ward.D2_euclidean_dtaEIdtaHIdtaMEI4",0.9833,0.9661,0.9667,0.9333,0.028030372744795,-214.436076792137,0.0518585458559894,168.219694853932,0.485919917191164,5.43301142799691,0.130838142245188,0.759999990463257,-5.74872310448663e-06,0.130838142245188,0.883059026462737,0.325384907096116,1.59923475773192,10.7936314595605,3.9771800802118,0.848884838494511,5.72933401679745,2.11111461511902,0.82544899037406,5.57115967351771,2.05283137192606,0.200534376322469,1.35345617179263,0.498714352631095,0.139692954990037,101.549614260512,1.06482782201602,0.346938798741477,0.396114511044028,-0.191703120029655,0.0861010293798565,0.598680496195505,NA,0.296392569389638,3.50290936019708,0.367821144011316,0.630063159423514,-5.14814052850491e-05,1.68407638391079,4.4330114279969,0.740555303523501,3.42704720874219,0.99919835426364,0.0001220703125
"hierarch_single_manhattan_dtaEIdtaHIdtaMEI4",0.9833,0.9661,0.9667,0.9333,0.028030372744795,-214.436076792137,0.0518585458559894,168.219694853932,0.485919917191164,5.43301142799691,0.130838142245188,0.759999990463257,-5.74872310448663e-06,0.130838142245188,0.883059026462737,0.325384907096116,1.59923475773192,10.7936314595605,3.9771800802118,0.848884838494511,5.72933401679745,2.11111461511902,0.82544899037406,5.57115967351771,2.05283137192606,0.200534376322469,1.35345617179263,0.498714352631095,0.139692954990037,101.549614260512,1.06482782201602,0.346938798741477,0.396114511044028,-0.191703120029655,0.0861010293798565,0.598680496195505,NA,0.296392569389638,3.50290936019708,0.367821144011316,0.630063159423514,-5.14814052850491e-05,1.68407638391079,4.4330114279969,0.740555303523501,3.42704720874219,0.99919835426364,0.000119924545288086
"hierarch_complete_manhattan_dtaMEIddtaMEI4",0.9833,0.9661,0.9667,0.9333,0.0127435475660383,-261.813663130692,0.0385582091692579,210.528517497374,0.439480565553707,6.70314034439045,0.213414535341312,1.39999997615814,-7.21784113759439e-05,0.213414535341312,1.2346891300788,0.454255357694244,1.92902689244263,11.1601983057035,4.10595651147627,1.03842267202842,6.00769382240241,2.21029491531907,1.02483728963328,5.92909690797752,2.18137826852438,0.225521631593383,1.30473356315991,0.480025454983202,0.23014557347528,114.154567482334,1.28917810844701,0.320816619010689,0.255517927133079,-0.148286164394031,0.0687977527275826,0.450305041583205,-663.122085264204,0.191664249259538,4.64035624538419,0.653202713090486,0.650604011577549,-9.48341684665555e-05,0.766801312844175,5.70314034439045,0.752040179398688,1.58648547485002,0.99919835426364,0.00011897087097168
"hierarch_complete_manhattan_dtaEIdtaHIdtaMEI4",0.9833,0.9661,0.9667,0.9333,0.028030372744795,-214.436076792137,0.0518585458559894,168.219694853932,0.485919917191164,5.43301142799691,0.130838142245188,0.759999990463257,-5.74872310448663e-06,0.130838142245188,0.883059026462737,0.325384907096116,1.59923475773192,10.7936314595605,3.9771800802118,0.848884838494511,5.72933401679745,2.11111461511902,0.82544899037406,5.57115967351771,2.05283137192606,0.200534376322469,1.35345617179263,0.498714352631095,0.139692954990037,101.549614260512,1.06482782201602,0.346938798741477,0.396114511044028,-0.191703120029655,0.0861010293798565,0.598680496195505,NA,0.296392569389638,3.50290936019708,0.367821144011316,0.630063159423514,-5.14814052850491e-05,1.68407638391079,4.4330114279969,0.740555303523501,3.42704720874219,0.99919835426364,0.000120878219604492
"hierarch_average_manhattan_dtaEIdtaHIdtaMEI4",0.9833,0.9661,0.9667,0.9333,0.028030372744795,-214.436076792137,0.0518585458559894,168.219694853932,0.485919917191164,5.43301142799691,0.130838142245188,0.759999990463257,-5.74872310448663e-06,0.130838142245188,0.883059026462737,0.325384907096116,1.59923475773192,10.7936314595605,3.9771800802118,0.848884838494511,5.72933401679745,2.11111461511902,0.82544899037406,5.57115967351771,2.05283137192606,0.200534376322469,1.35345617179263,0.498714352631095,0.139692954990037,101.549614260512,1.06482782201602,0.346938798741477,0.396114511044028,-0.191703120029655,0.0861010293798565,0.598680496195505,NA,0.296392569389638,3.50290936019708,0.367821144011316,0.630063159423514,-5.14814052850491e-05,1.68407638391079,4.4330114279969,0.740555303523501,3.42704720874219,0.99919835426364,0.00012516975402832
"hierarch_centroid_manhattan_dtaMEIddtaMEI4",0.9833,0.9661,0.9667,0.9333,0.0127435475660383,-261.813663130692,0.0385582091692579,210.528517497374,0.439480565553707,6.70314034439045,0.213414535341312,1.39999997615814,-7.21784113759439e-05,0.213414535341312,1.2346891300788,0.454255357694244,1.92902689244263,11.1601983057035,4.10595651147627,1.03842267202842,6.00769382240241,2.21029491531907,1.02483728963328,5.92909690797752,2.18137826852438,0.225521631593383,1.30473356315991,0.480025454983202,0.23014557347528,114.154567482334,1.28917810844701,0.320816619010689,0.255517927133079,-0.148286164394031,0.0687977527275826,0.450305041583205,-663.122085264204,0.191664249259538,4.64035624538419,0.653202713090486,0.650604011577549,-9.48341684665555e-05,0.766801312844175,5.70314034439045,0.752040179398688,1.58648547485002,0.99919835426364,0.000133991241455078
"hierarch_centroid_manhattan_dtaMEIddtaMEId2dtaMEI4",0.9833,0.9661,0.9667,0.9333,0.013687221080149,-257.505552077849,0.0384790999633415,196.070624414441,0.467370935154727,6.7041118758775,0.216040821383172,-0.813333332538605,-4.34348000652579e-05,0.216040821383172,1.18771293309982,0.436552457009333,1.9296032096303,10.6082483539721,3.899138212973,1.04135704651069,5.72499782308138,2.10426425139316,1.02154910319617,5.61610104004684,2.06423845318107,0.23901179730193,1.31399890539874,0.482969777185366,0.0130056806780431,114.163263058186,1.21803191242643,0.33768782910944,0.232539807699047,-0.145481330802073,0.0738707745341484,0.368173110755298,-1081.30788818486,0.192355332422492,4.64025177898414,0.423124564337966,0.633957535941319,5.50941368741609e-05,0.823380926681223,5.7041118758775,0.739022579407582,1.65165564787467,0.99919835426364,0.000138998031616211
