"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"289",924,472,924,924,5,81,442,365,54,815,66,338
"745",921.5,353,923,923,45,32,919,874,94,887,471,717
"385",921.5,396,922,922,110,197,144,312,314,717.5,81,280
"577",921.5,328,921,921,30,41,869,875,383,908.5,595,878
"578",921.5,351,920,920,146,50,683,735,598,808.5,566,774
"193",917.5,358,918.5,918.5,105,145,158,340,326,731.5,84,302
"386",917.5,350,918.5,918.5,107,223,141,310,319,747,99,295
"746",917.5,310,916.5,917,42,85,889,894,358,812,585.5,851
"579",917.5,288.5,916.5,916,38,33,890,890,260,896,559,836
"748",908.5,483,914,915,393,66,871,867,552,495.5,652,793
"583",908.5,612.5,909,913.5,565,245.5,254.5,320,725,376,315,400
"584",908.5,612.5,909,913.5,564,245.5,254.5,321,724,376,313.5,399
"581",908.5,587.5,909,911.5,532.5,608.5,249.5,304.5,720.5,423.5,458,419.5
"582",908.5,587.5,909,911.5,532.5,608.5,249.5,304.5,720.5,423.5,458,419.5
"387",908.5,342.5,914,910,106,227,143,311,317,717.5,91,284
"747",908.5,268,914,909,3,3,876,459,31,917.5,236,454
"661",908.5,615,902.5,908,84,135.5,237,369,225,358,6,138
"388",908.5,589,904.5,907,216,381,134,343,246,410,60,137
"580",908.5,440,909,906,397,492,723,807,603,540,825,837.5
"194",890,678,898.5,905,712,393,95,128,219,260.5,85,61
"841",908.5,338.5,909,903.5,177.5,87.5,820.5,789.5,544.5,709,602.5,825
"842",908.5,338.5,909,903.5,177.5,87.5,820.5,789.5,544.5,709,602.5,825
"389",908.5,437,902.5,902,19,128,256,354,122,579,10,182
"1",908.5,292,904.5,901,46,67,207,317,172,772.5,23,254
"2",890,524,898.5,900,672,190,49,128,247,387,40,66
"5",890,617,891.5,899,70,3,382,294,302,359,7,189
"586",890,443,898.5,898,299,701,613,773,553,505.5,767,695.5
"587",890,590,891.5,897,467,163,780,869,405,396,585.5,612
"585",890,414,898.5,896,258,754,619,745,629,573,829,776
