"","ARI"
"Purity",0.984242495105171
"Fmeasure",0.931895827252336
"RI",0.999869589138261
"ARI",1
"ball_hall",-0.319846507777915
"banfeld_raftery",NA
"c_index",-0.137292491649378
"calinski_harabasz",0.133011891209288
"davies_bouldin",0.107688281603354
"det_ratio",0.18146740454231
"dunn",0.0111201969037803
"gamma",NA
"g_plus",-0.0171810580421567
"gdi11",0.0111201969037803
"gdi12",0.0175718257134175
"gdi13",0.0357168786640151
"gdi21",-0.320311801349348
"gdi22",-0.284127116209065
"gdi23",-0.249448228902256
"gdi31",-0.239939034358677
"gdi32",-0.231471588922121
"gdi33",-0.197082087294516
"gdi41",-0.332602892355803
"gdi42",-0.325009710063937
"gdi43",-0.303023393718234
"gdi51",-0.0927455733694682
"gdi52",-0.118500651218888
"gdi53",0.0161499714943536
"ksq_detw",-0.185655268701696
"log_det_ratio",0.751422650202583
"log_ss_ratio",0.16569077633062
"mcclain_rao",0.200415692212516
"pbm",-0.550413361166919
"point_biserial",0.521010429242477
"ray_turi",-0.0118972404434359
"ratkowsky_lance",0.60032570392687
"scott_symons",NA
"sd_scat",0.215095949734704
"sd_dis",0.393788266070706
"s_dbw",NA
"silhouette",-0.282084750909013
"tau",-0.0197293514344352
"trace_w",-0.365828413758085
"trace_wib",0.835921800442903
"wemmert_gancarski",-0.084351480458794
"xie_beni",0.0452863620731679
"infomax",0.46347996843329
"Time",0.0950132436051167
