"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"745",932.5,936,935.5,936,610,156,669,794,445,357.5,553,519
"746",932.5,926,935.5,935,118,321.5,493,624,532,549.5,360,440
"747",932.5,931.5,933.5,933.5,426,321.5,431,629,510,381.5,383,399
"748",932.5,931.5,933.5,933.5,295,363,504,675,481,381.5,384,418
"841",936,864,932,932,51,23.5,895,506,102,592.5,159,383
"749",921,776.5,931,931,96,440,559,637,552,777.5,561,663
"750",921,928,929.5,930,609,236.5,273,538,600,359,356,360
"751",921,793,929.5,929,259,212,246,398,760,603,310,396
"97",896,935,926.5,928,829,388,577,59,418,293,333,296
"277",896,929.5,926.5,926.5,856,335,439,59,450,299.5,290,266
"278",896,929.5,926.5,926.5,857,333,503,59,424,299.5,308,276
"752",896,748,926.5,925,105,111,506,614,568,661.5,334,478
"753",921,890,921,922,441,236.5,310,530,649,395,331,374
"754",921,890,921,922,420,369,432,639,502,395,411.5,415
"755",921,890,921,922,294,392,505,679,474,395,400,421
"757",921,890,921,922,441,236.5,310,530,649,395,331,374
"758",921,890,921,922,441,236.5,310,530,649,395,331,374
"756",932.5,792,921,919,236,160,341,453,713,549.5,296,411
"842",932.5,705,921,918,122,169,654,708,588,783.5,551,770
"843",896,743,916,917,174,65,560,627,553,607.5,347,482.5
"1",896,662.5,916,915.5,311.5,307.5,275.5,358.5,877.5,839.5,514.5,543.5
"2",896,662.5,916,915.5,311.5,307.5,275.5,358.5,877.5,839.5,514.5,543.5
"759",827,635.5,914,914,145,137,728,742,494,933.5,617,880
"760",921,798,911,913,252,52,745,804,444,448.5,406,532
"98",921,746,911,911,622.5,371.5,303.5,461.5,872.5,542.5,614,511.5
"99",921,746,911,911,622.5,371.5,303.5,461.5,872.5,542.5,614,511.5
"100",921,746,911,911,267,172,891,816,619,542.5,711,896
"101",921,655,911,909,53,49,796,795,342,797,439,716
"761",896,879,907.5,908,636,194,235,512,571,340,314.5,345
"844",896,836,907.5,907,563,116,804,876,436,357.5,602,656
"845",827,933.5,901.5,905.5,922,473.5,561.5,59,343.5,267.5,357,272
"847",827,933.5,901.5,905.5,923,473.5,561.5,59,343.5,267.5,358,273
"7",827,927,901.5,904,821,687,588,59,341,282,418,308
"6",827,904,901.5,903,820,655,574,59,351,283.5,404,293
"102",921,637.5,901.5,901.5,92,7,912,845,361,734.5,508,808
"762",827,653,901.5,901.5,154,31,315,415,752,730.5,267,424
"5",827,592.5,901.5,899.5,175,648,497,557,719,824,795,826
"846",921,592.5,901.5,899.5,115,482,655,698,595,829,763,891
"103",921,776.5,895.5,898,195,171,527,641,468,480,311.5,419
"3",827,580.5,901.5,896.5,262,338,407,439,799,880.5,593,682
"4",827,580.5,901.5,896.5,196,427,480,528,759,880.5,667,789
"763",921,703,895.5,895,241,176,349,457,725,554.5,318,416
"766",896,815,892,894,293,230,494,666,457,368,319,392
"764",896,791,892,893,582,178,687,761,479,381.5,569,549
"848",896,590,892,892,50,143,845,831,338,791.5,530,797
"765",896,572,892,891,108,114,544,616,599,839.5,437,621
"8",896,561.5,892,890,197,528,484,526,757,872,757,837
"104",827,809.5,886,888.5,561.5,149.5,868.5,855.5,533.5,364.5,740,809.5
"105",827,809.5,886,888.5,561.5,149.5,868.5,855.5,533.5,364.5,740,809.5
"193",896,797,886,887,575,292,169,310,572,377,220,286
"768",896,779,886,886,469,157,674,741,446,404.5,470,502
"279",827,597.5,886,885,131,253,476,573,658,647.5,399,506
"849",827,537,886,884,194,531,585,626,672,818,803,875
"767",827,515,886,883,143,499,489,562,692,886.5,670,776
"649",738,808,881.5,882,107,771,638,785,439,325.5,566.5,507
"9",738,521.5,881.5,881,133,124,515,593,698,839.5,477,683
"769",896,702,874,880,184,133,360,287,340,466.5,32,248.5
"106",896,666,874,878,599,578.5,337,476,871,524.5,772.5,598
"107",896,666,874,878,525,639,399,560,829,524.5,824,690
"108",896,666,874,878,600,578.5,338,475,870,524.5,772.5,596.5
"850",896,586,874,876,243,62,842,834,438,631,559,779
"10",896,552,874,872,553,568,207.5,352.5,893,697.5,670,522.5
"11",896,552,874,872,553,568,207.5,352.5,893,697.5,670,522.5
"12",896,552,874,872,364.5,243.5,718.5,720.5,609.5,697.5,753.5,868.5
"13",896,552,874,872,553,568,207.5,352.5,893,697.5,670,522.5
"14",896,552,874,872,553,568,207.5,352.5,893,697.5,670,522.5
"15",896,552,874,872,364.5,243.5,718.5,720.5,609.5,697.5,753.5,868.5
"16",896,552,874,872,553,568,210,355,893,697.5,675,528
"194",896,479.5,874,868,179,185,744,728,579,935.5,752,920
"862",827,893,855.5,867,726,344,733,867,451,307,805,710
"858",827,837,855.5,866,697,241,760,864,471,315,750,707
"771",827,524,855.5,865,14,30,743,756,332,736,355,572
"280",827,484,855.5,862,239,226.5,732,734,617,856.5,785,919
"281",827,484,855.5,862,316,126,359,408,862,850,495,591
"282",827,484,855.5,862,336,177,312,399,874,850,507,579
"283",827,484,855.5,862,251,187,416,482,801,856.5,528.5,660.5
"770",827,484,855.5,862,160,242,478,556,703,850,526,680
"17",827,470,855.5,856.5,272,468.5,410,443,822,893.5,713,767
"18",827,470,855.5,856.5,209.5,532.5,481.5,524.5,764.5,893.5,786.5,852.5
"19",827,470,855.5,856.5,272,468.5,410,443,822,893.5,713,767
"20",827,470,855.5,856.5,272,468.5,410,443,822,893.5,713,767
"21",827,470,855.5,856.5,209.5,532.5,481.5,524.5,764.5,893.5,786.5,852.5
"284",827,470,855.5,856.5,178,317,440,514,763,886.5,583,726
"851",827,452,855.5,848.5,489,422.5,326,364.5,900.5,920,799.5,786
"852",827,452,855.5,848.5,346.5,380.5,459.5,458.5,851.5,920,792.5,864.5
"853",827,452,855.5,848.5,489,422.5,326,364.5,900.5,920,799.5,786
"854",827,452,855.5,848.5,260.5,723.5,545.5,570.5,773.5,920,907.5,915.5
"855",827,452,855.5,848.5,346.5,380.5,459.5,458.5,851.5,920,792.5,864.5
"856",827,452,855.5,848.5,489,422.5,326,364.5,900.5,920,799.5,786
"857",827,452,855.5,848.5,489,422.5,326,364.5,900.5,920,799.5,786
"859",827,452,855.5,848.5,489,422.5,326,364.5,900.5,920,799.5,786
"860",827,452,855.5,848.5,260.5,723.5,545.5,570.5,773.5,920,907.5,915.5
"861",827,452,855.5,848.5,492,422.5,323,364.5,900.5,920,799.5,782
"111",738,905,837,843,830,204,534,59,339,246,178,212
"285",738,878,837,842,858,418,464,59,392,275,305,251
"109",896,501.5,842.5,839.5,356.5,639,417.5,454.5,880.5,791.5,850.5,835.5
"110",896,501.5,842.5,839.5,356.5,639,417.5,454.5,880.5,791.5,850.5,835.5
"650",738,795,837,839.5,903,788.5,619.5,59,416.5,301.5,580,346
"651",738,795,837,839.5,904,788.5,619.5,59,416.5,301.5,581,347
"22",896,594.5,840.5,836.5,580.5,568,231.5,391.5,853.5,561.5,620.5,462.5
"23",896,594.5,840.5,836.5,580.5,568,231.5,391.5,853.5,561.5,620.5,462.5
"24",738,481,837,835,204,102,372,428,783,808.5,382,508.5
"772",827,817,828,834,379,254,452,674,374,335,306,361
"863",827,734.5,828,828.5,450,434,540,671,643,423.5,605,551
"864",827,734.5,828,828.5,594,645,391,599,721,423.5,761,557.5
"865",827,734.5,828,828.5,351.5,810.5,607.5,715.5,561.5,423.5,821.5,687.5
"866",827,734.5,828,828.5,351.5,810.5,607.5,715.5,561.5,423.5,821.5,687.5
"867",827,734.5,828,828.5,450,434,540,671,643,423.5,605,551
"868",827,734.5,828,828.5,594,645,391,599,721,423.5,761,557.5
"869",827,734.5,828,828.5,351.5,810.5,607.5,715.5,561.5,423.5,821.5,687.5
"870",827,734.5,828,828.5,450,434,540,671,643,423.5,605,551
"871",827,734.5,828,828.5,594,645,391,599,721,423.5,761,557.5
"872",827,734.5,828,828.5,351.5,810.5,607.5,715.5,561.5,423.5,821.5,687.5
"286",827,728,828,823,486,337,394,609,526,376,394,390
"25",827,420,828,822,296,468.5,400,441,837,877,727,769
"195",827,742,814.5,821,584,213,682,812,524,371,619,610.5
"773",827,719,814.5,820,404,757,477,653,500,404.5,626,464
"652",827,669,814.5,819,474,125,516,642,395,440.5,348,409
"873",827,513,814.5,818,223,251,586,651,528,615,455,530
"287",827,507,814.5,817,299,255,346,404,784,644.5,396.5,442
"27",827,476,814.5,816,406,700,380,473,805,680.5,811.5,703
"290",827,452,814.5,815,308,309,347,407,834,732.5,499,520
"288",827,429.5,814.5,812.5,344,232,355,414,857,777.5,516.5,571
"774",827,429.5,814.5,812.5,191,98,461,543,708,777.5,419.5,563
"775",827,429.5,814.5,812.5,375,153,230,369,876,777.5,422,469
"776",827,429.5,814.5,812.5,151,155,513,592,659,777.5,452,602
"26",827,421,814.5,810,202,605,514,587,738,798.5,811.5,850.5
"289",827,377,814.5,809,57,22,725,736,383,912.5,443,730
"874",827,373,814.5,808,483,168,344,374,906,933.5,633,727
"28",738,397,804.5,807,199,611,512,591,750,839.5,834,888
"29",738,387.5,804.5,805.5,220,189,469,550,772,865.5,566.5,749
"777",738,387.5,804.5,805.5,130,556,523,596,652,865.5,729,811
"30",738,375,804.5,803,405,186,247,361,904,903,537.5,581
"875",738,375,804.5,803,363,302,455,464,856,903,746,841
"876",738,375,804.5,803,270,653,543,577,781,903,900,910
"653",666.5,422,801,801,103,87,876,865,435,769.5,594,890
"301",827,654,791.5,800,473,240,368,519,604,448.5,364,391
"112",827,637.5,791.5,799,638,549,314,484,824,489.5,697.5,515
"291",827,613.5,791.5,794.5,360,269,396,575,679,461.5,402,431
"292",827,613.5,791.5,794.5,303,598.5,457,621,621,461.5,563,497.5
"293",827,613.5,791.5,794.5,360,269,396,575,679,461.5,402,431
"294",827,613.5,791.5,794.5,360,269,396,575,679,461.5,402,431
"295",827,613.5,791.5,794.5,447.5,491,366.5,541.5,695.5,461.5,533,443.5
"296",827,613.5,791.5,794.5,303,598.5,457,621,621,461.5,563,497.5
"297",827,613.5,791.5,794.5,303,598.5,457,621,621,461.5,563,497.5
"300",827,613.5,791.5,794.5,447.5,491,366.5,541.5,695.5,461.5,533,443.5
"299",827,568,791.5,790,300,206,386,533,715,519.5,367,434
"778",827,494,791.5,789,218,596,483,572,676,610.5,603,580
"298",827,487,791.5,788,150,138,788,792,473,638.5,516.5,735
"878",827,408.5,791.5,785.5,396,617,467,527,867,783.5,892,889
"879",827,408.5,791.5,785.5,527,813.5,339.5,402,919.5,783.5,905,803
"880",827,408.5,791.5,785.5,298,797,550,611,797,783.5,911,907
"881",827,408.5,791.5,785.5,528,813.5,339.5,403,919.5,783.5,906,804
"877",827,369,791.5,783,333,495,498,523,860,860.5,868,899
"884",738,790,759.5,782,712,374,748,869,467,312,831,750
"303",827,605,775.5,780,576.5,226.5,701.5,764.5,582.5,478,733,760.5
"304",827,605,775.5,780,576.5,226.5,701.5,764.5,582.5,478,733,760.5
"781",827,605,775.5,780,378,135,723,744,531,478,526,604
"113",827,535,775.5,778,319,100,881,802,661,549.5,720,900
"782",738,729,759.5,777,421,720,499,696,434,339,587,439
"302",827,510,775.5,776,422,293,361,467,787,571.5,475,465
"31",827,491,775.5,774,320,830,486.5,594.5,705,585.5,846,743
"32",827,491,775.5,774,412,706.5,415,535,756,585.5,789,657
"33",827,491,775.5,774,321,830,486.5,594.5,706,585.5,847,745
"305",827,477.5,775.5,772,331,491,350,418,782,615,523,480
"779",827,437.5,775.5,770.5,225,498,453,558,701,647.5,575,575
"780",827,437.5,775.5,770.5,431,274,227,372,868,647.5,436,438
"882",827,398.5,775.5,768.5,328.5,161.5,834.5,789.5,669.5,769.5,860.5,933.5
"883",827,398.5,775.5,768.5,328.5,161.5,834.5,789.5,669.5,769.5,860.5,933.5
"196",827,366,775.5,767,289,716,465,532,813,821.5,891,886
"783",827,582,759.5,766,70,66,840,729,307,516,325,495
"309",827,570,759.5,764,507,226.5,711,752,615,499.5,717,772.5
"310",827,570,759.5,764,507,226.5,711,752,615,501,720,775
"312",827,570,759.5,764,507,226.5,711,752,615,499.5,717,772.5
"34",827,511.5,759.5,761.5,462,706.5,403,537,737,558,783,619
"35",827,511.5,759.5,761.5,358,830,468,601,688,558,837.5,705
"311",827,488.5,759.5,760,207,598.5,466,578,687,603,596,574
"308",827,429.5,759.5,758.5,106,191,690,659,490,647.5,423,565
"374",738,429.5,759.5,758.5,144,188,739,783,489,663,537.5,739
"373",738,417.5,759.5,756.5,317,347,272,394,826,727.5,460,470
"376",738,417.5,759.5,756.5,238,588.5,408,498,717,727.5,616,584
"375",738,368,759.5,755,152,60,750,745,578,808.5,582,856
"36",738,332.5,759.5,752.5,313,576,402,468,855,880.5,832,844
"37",738,332.5,759.5,752.5,250,647,470,536,792,880.5,871,894
"306",738,321.5,759.5,752.5,221.5,181.5,429.5,495.5,794.5,886.5,540.5,700.5
"307",738,321.5,759.5,752.5,221.5,181.5,429.5,495.5,794.5,886.5,540.5,700.5
"654",666.5,673,748.5,750,135,808,670,797,437,354,628.5,554
"784",738,741,740.5,749,258,590,520,702,386,338,429,414
"313",666.5,331,748.5,747.5,248,142,737,743,645,818,740,909
"317",738,701,740.5,747.5,155,208,445,612,429,410.5,196,358
"38",666.5,314.5,748.5,745.5,185,558,522,597,734,850,814,882
"314",666.5,314.5,748.5,745.5,173,37,765,747,527,850,584,858
"885",738,672,740.5,744,467,283,547,681,587,416.5,518,503
"553",738,651,740.5,742,613,464,518,684,607,381.5,663,535
"554",738,651,740.5,742,613,464,518,684,607,381.5,663,535
"555",738,651,740.5,742,613,464,518,684,607,381.5,663,535
"315",738,635.5,740.5,740,408,207,789,835,442,402,576,628
"39",738,423,740.5,739,100,18,814,813,441,622,434,685
"316",738,382,740.5,737,208,8,404,483,697,715,324,454
"377",738,382,740.5,737,206,631,463,564,675,722,660,660.5
"378",738,382,740.5,737,257,588.5,405,504,716,715,618,583
"114",738,287,740.5,735,253,29,488,478,796,903,504,716
"655",666.5,670.5,722.5,733.5,402.5,753.5,594.5,762.5,448,321.5,681.5,514
"656",666.5,670.5,722.5,733.5,402.5,753.5,594.5,762.5,447,321.5,679.5,513
"40",738,414,729.5,732,290,239,727,754,689,603,708,863
"318",738,382,729.5,730.5,377,72,365,448,803,619.5,378,451
"785",738,382,729.5,730.5,171,725,524,610,631,619.5,677,649.5
"115",738,290.5,729.5,726.5,522,324,321,378,923,829,694.5,697
"116",738,290.5,729.5,726.5,522,324,321,378,923,829,694.5,697
"117",738,290.5,729.5,726.5,392.5,436.5,412.5,445.5,883,829,782,805
"118",738,290.5,729.5,726.5,496,284,354,390,905,829,659,691
"119",738,290.5,729.5,726.5,522,324,321,378,923,829,694.5,697
"120",738,290.5,729.5,726.5,392.5,436.5,412.5,445.5,882,825,775,798
