"","ARI"
"Purity",0.774255256683387
"Fmeasure",0.599864981402447
"RI",0.804331780503933
"ARI",1
"ball_hall",0.0238292317823138
"banfeld_raftery",NA
"c_index",0.346704576512269
"calinski_harabasz",-0.519095836748651
"davies_bouldin",0.0636939133307999
"det_ratio",-0.19678310931799
"dunn",0.161377604135193
"gamma",NA
"g_plus",-0.00501101186053881
"gdi11",0.161377604135193
"gdi12",0.219967409730299
"gdi13",0.220894671671839
"gdi21",-0.458071087621909
"gdi22",-0.355319197065111
"gdi23",-0.34044831867958
"gdi31",-0.113172272709048
"gdi32",-0.0368317247565464
"gdi33",-0.0184416615063644
"gdi41",-0.112243351008177
"gdi42",-0.0428695554614233
"gdi43",-0.0245330794382345
"gdi51",-0.241655130448377
"gdi52",-0.073596020912106
"gdi53",-0.0759355694663838
"ksq_detw",0.175134595128652
"log_det_ratio",-0.431687318646854
"log_ss_ratio",-0.527452533488508
"mcclain_rao",0.151042062170236
"pbm",-0.210632495952578
"point_biserial",0.325224262192853
"ray_turi",0.105370176119244
"ratkowsky_lance",-0.439615481964272
"scott_symons",NA
"sd_scat",0.282851163244083
"sd_dis",0.127245124146712
"s_dbw",0.0524487170512151
"silhouette",-0.0546318228239188
"tau",0.0315311498897871
"trace_w",0.197885329091798
"trace_wib",-0.280026807581981
"wemmert_gancarski",-0.228342709354756
"xie_beni",0.0126692543851913
"infomax",-0.532439292125822
"Time",-0.0226528038134062
