"","ARI"
"Purity",0.974525214428174
"Fmeasure",0.951413268354691
"RI",0.999934876929847
"ARI",1
"ball_hall",-0.0775691131134672
"banfeld_raftery",NA
"c_index",-0.556075538038702
"calinski_harabasz",0.909159287904653
"davies_bouldin",-0.138638258585172
"det_ratio",0.385484968877963
"dunn",-0.266357146801357
"gamma",NA
"g_plus",-0.0370831938814375
"gdi11",-0.266357146801357
"gdi12",-0.28725567377291
"gdi13",-0.282896587234821
"gdi21",0.721460662597456
"gdi22",0.612049814284895
"gdi23",0.601148719009064
"gdi31",0.412257231492822
"gdi32",0.254250918774214
"gdi33",0.252375689611825
"gdi41",0.413404532772925
"gdi42",0.272415017588445
"gdi43",0.269978698009003
"gdi51",0.168659620863758
"gdi52",-0.000590924315965804
"gdi53",0.0531895305802767
"ksq_detw",-0.230097911039822
"log_det_ratio",0.710290641887886
"log_ss_ratio",0.789942707128139
"mcclain_rao",-0.37359941796595
"pbm",0.559733709794718
"point_biserial",-0.639389365453625
"ray_turi",-0.200831663016224
"ratkowsky_lance",0.676229740027355
"scott_symons",NA
"sd_scat",-0.63817849309572
"sd_dis",-0.290555638708275
"s_dbw",-0.134904174697575
"silhouette",0.157343090511521
"tau",0.10752037762977
"trace_w",-0.286726927581114
"trace_wib",0.688624664317268
"wemmert_gancarski",0.380840464538713
"xie_beni",-0.0292371786891024
"infomax",0.790229994975901
"Time",-0.0109097033014782
