"","ARI"
"Purity",0.973269643711813
"Fmeasure",0.880354928941408
"RI",0.999780069822721
"ARI",1
"ball_hall",-0.366162742246441
"banfeld_raftery",NA
"c_index",-0.0865495793657212
"calinski_harabasz",-0.180460354354794
"davies_bouldin",0.037089190890271
"det_ratio",-0.0876833752658078
"dunn",0.108047735934659
"gamma",NA
"g_plus",-0.02374447691348
"gdi11",0.108047735934659
"gdi12",0.1628214927524
"gdi13",0.183364893473569
"gdi21",-0.0654761014850598
"gdi22",0.0043118002184413
"gdi23",0.017129013041952
"gdi31",-0.130073377635326
"gdi32",-0.0713083831274035
"gdi33",-0.0527735190889813
"gdi41",-0.162671830806227
"gdi42",-0.115934428576643
"gdi43",-0.102836004480145
"gdi51",0.201593882261727
"gdi52",0.284396084655127
"gdi53",0.289767505800142
"ksq_detw",-0.18148053720717
"log_det_ratio",0.463765726399414
"log_ss_ratio",0.034863318182991
"mcclain_rao",0.186315534780695
"pbm",-0.58945941633563
"point_biserial",0.63334300077523
"ray_turi",-0.0384387419480326
"ratkowsky_lance",0.562713174132415
"scott_symons",NA
"sd_scat",0.226801702992131
"sd_dis",0.355049767658047
"s_dbw",NA
"silhouette",-0.166914934955857
"tau",0.00684623481361121
"trace_w",-0.409200864899844
"trace_wib",0.525343192313216
"wemmert_gancarski",0.0888097608702712
"xie_beni",-0.0180976574399396
"infomax",0.26974838070204
"Time",0.056173563768252
