"","Purity","Fmeasure","RI","ball_hall","banfeld_raftery","c_index","calinski_harabasz","davies_bouldin","det_ratio","dunn","gamma","g_plus","gdi11","gdi12","gdi13","gdi21","gdi22","gdi23","gdi31","gdi32","gdi33","gdi41","gdi42","gdi43","gdi51","gdi52","gdi53","ksq_detw","log_det_ratio","log_ss_ratio","mcclain_rao","pbm","point_biserial","ray_turi","ratkowsky_lance","scott_symons","sd_scat","sd_dis","s_dbw","silhouette","tau","trace_w","trace_wib","wemmert_gancarski","xie_beni","infomax"
"1",0.97,0.9406,0.9412,0.0329777834997589,-341.385052947965,0.169185379547692,125.212192876688,0.755050334269409,-4.56662300887094,0.0678402017606571,1,0,0.0678402017606571,0.441682013312496,0.154267718778484,1.58531333609529,10.3213782955432,3.60498149417886,0.615415810723762,4.0067406530393,1.3994473889614,0.575545024668614,3.74715697551253,1.30878175043142,0.217230823229116,1.41430810739437,0.493980010055963,1.46989814316796,NA,0.245042362447595,0.496955297275094,0.0986036345410967,-0.110379099563316,0.19558957827788,0.434866279138096,NA,0.407695736347727,4.87291296151316,1.46651932185798,0.461159647251394,-8.08159233566158e-07,3.29479496154017,3.56662300887094,0.560666126406084,14.0776465314572,0.99971144175281
"2",0.96,0.9216,0.9224,0.0130167041333333,-434.163782636494,0.0346035160746727,352.80790429001,0.460671530239847,5.69816212998272,0.108854639847607,1.53571426868439,1.22461221836677e-06,0.108854639847607,0.671925706666953,0.240249319406983,1.95700031947551,12.07995198415,4.31922787573832,0.989147002479651,6.10569562830857,2.18311221709874,0.974632033234126,6.01609925482185,2.1510767293388,0.224492615085369,1.38572282489679,0.495469904283915,0.980059100152571,174.014368951134,1.28095624966123,0.324337550228942,0.236483946172549,-0.148434341046841,0.0694428886147087,0.451773166682736,-1061.86806002788,0.18858299363284,4.61948294273345,0.488583005553769,0.651475203650473,-9.92885337813864e-06,1.30167041333333,4.69816212998272,0.748338131835571,5.56692345561682,1
"3",0.96,0.9216,0.9224,0.0139633472888889,-427.14187147714,0.0349520899548555,328.894373375243,0.488404643877802,5.80432350368703,0.110534800084753,0.428571432828903,-1.30625311447096e-06,0.110534800084753,0.649109946522043,0.231952515423459,1.95623188098382,11.4878714276092,4.10506831511746,0.988967086159076,5.80765851041087,2.07530481920371,0.969153217205919,5.69130258081478,2.03372626891519,0.236669465956242,1.38982930509183,0.496640677057227,0.0903144368291379,175.860307152636,1.21076916697538,0.341644216159843,0.215244593956837,-0.145424580823012,0.0744920010293014,0.369042150347806,-1761.55984194151,0.189275450981584,4.61944761058479,0.564275450981584,0.634033625555285,-2.77084284280788e-06,1.39633472888889,4.80432350368703,0.734963395150446,5.72659492367282,1
"4",0.96,0.9216,0.9224,0.012844508,-435.815797769584,0.0677111767250045,258.644531828096,0.541377411637083,4.27601437023452,0.0477231110762063,-1.92857146263123,-6.69454689410316e-06,0.0477231110762063,0.327663489362821,0.113933679101908,1.71450005978584,11.7716355751644,4.09318033185045,0.759669907469416,5.21583960123388,1.81362835551075,0.746697618510518,5.12677278707526,1.78265844231502,0.202122611992399,1.38775949075912,0.482545506666749,0.74420766188057,145.30213538294,0.970487176353446,0.370301346729331,0.125302276708917,-0.117947322402391,0.0947246006974684,0.455904340396998,-1092.09554901283,0.251126201067312,5.43128572573634,0.816343576822622,0.600056941178014,1.2468792962943e-05,1.2844508,3.27601437023452,0.703185577401896,23.189683450351,1
"5",0.96,0.9217,0.9224,0.0135625819743213,-430.386425685227,0.0668858144131831,245.861913421811,0.564438914888294,4.24016722701175,0.0788647275308306,0.875,9.7968977469342e-06,0.0788647275308306,0.505287787282052,0.176937113466816,1.71319621991629,10.9764802877569,3.84364472489613,0.767658422890455,4.91840190203042,1.72228155383693,0.750033328516397,4.80547759206658,1.68273873893395,0.212121474945072,1.3590662653098,0.475905549365299,0.0593296351258559,144.460270879908,0.919802572104884,0.38658409101024,0.119171317547028,-0.116202870935417,0.0994899928157398,0.412980875756036,-1812.83041084962,0.24799551475315,5.40268938077271,0.932206053617286,0.587635569498401,-1.29304059518653e-05,1.36338776549145,3.24016722701175,0.69443585579914,8.99859921488931,0.998845535995202
"6",0.95,0.9031,0.904,0.0205451232914134,-388.504601681603,0.114821008797819,165.497132445081,0.640148131606713,4.08721748834529,0.0731565891769522,-16.4285717010498,5.46993467573639e-06,0.0731565891769522,0.523670326345064,0.179945666630456,1.47124794344977,10.5315037148229,3.61887691787253,0.645438246709246,4.62018337777155,1.58760566723467,0.60973953021782,4.36464442050897,1.49979636107138,0.195324056435891,1.39817087602889,0.480445000781891,4.17339531763105,140.78644178336,0.523986389380611,0.421403886326894,0.109459168400749,-0.1141409118694,0.14797960326066,0.560314980412211,NA,0.517390969229601,5.36567167765071,0.748160201145075,0.562479410109691,1.32769012319454e-05,2.05595526210484,3.08721748834529,0.67880331938918,10.2797763105242,0.99971144175281
"7",0.95,0.9031,0.904,0.0114577870230036,-446.959569292253,0.0338885873474678,400.590904215711,0.419078854711998,5.50791299955879,0.0819546251360075,-8.14285755157471,7.83751849864174e-06,0.0819546251360075,0.545431830100101,0.195562822558533,1.96593421195781,13.083863092596,4.69117688985605,0.979975674092704,6.52202269837632,2.33845019175212,0.974443342455695,6.48520342472964,2.32524876000294,0.204291319752264,1.35961805964122,0.487486667758637,0.391842003613992,170.618578545459,1.40797323890076,0.299223720712645,0.274204228377776,-0.152630955232676,0.0611351874000925,0.452271780998603,-1153.56621389038,0.18380695809478,4.61716131975428,0.531633051530068,0.677168334220138,6.58072526061368e-06,1.14709963540972,4.50791299955879,0.768521034367709,8.64286037562786,0.99971144175281
"8",0.95,0.9031,0.904,0.0309619484086196,-347.521209701717,0.0602122394673886,258.344005056725,0.522988623278401,5.7652169753966,0.123344692297499,-3.28571438789368,-1.22461221836677e-06,0.123344692297499,0.797972606209978,0.280306274613406,1.76688945424229,11.43080708561,4.01533451782271,0.843412536510812,5.45641719423499,1.9166923332329,0.818736832763178,5.29677890528396,1.86061570389339,0.214213478314842,1.38584388506893,0.486809614260395,0.787674968314566,175.184278968175,0.969324571058437,0.358676047874115,0.342363258538478,-0.188865151142329,0.0947968581451024,0.587948446126103,NA,0.327582147172088,3.49784796409569,0.538108464530105,0.624541875959754,2.65538031452572e-06,3.09921765701836,4.7652169753966,0.728307481802702,4.17678065814608,0.99971144175281
"9",0.95,0.9031,0.904,0.0115158365159233,-446.976487635574,0.0620858050266218,292.466689056904,0.507306913195863,4.22695210156789,0.0847502660369398,8.14285755157471,2.04102042667262e-06,0.0847502660369398,0.514854546902644,0.177608421361521,2.01434986407844,12.2370965316082,4.22140857083361,0.893075351460002,5.42539778253257,1.87158944445744,0.88686162784605,5.38764965494032,1.85856754265751,0.225228155252959,1.36825222202769,0.472003439885485,0.338799305186369,144.148118997749,1.09338329794997,0.346926457821686,0.138768234828129,-0.122092990324001,0.0837367157229829,0.487249493267846,-1171.82087691328,0.237407515590449,5.38620865075191,0.820740829055567,0.627806327619446,-6.58072526061368e-06,1.15454155351029,3.22695210156789,0.723216415817657,9.1694969834033,0.99971144175281
"10",0.95,0.9031,0.904,0.0209228417276119,-386.672744480151,0.116119831451337,176.646471334873,0.62017963202874,-4.69630581294231,0.0602111487580421,-15.2857141494751,5.79649788378513e-06,0.0602111487580421,0.45714040288376,0.159816987660986,1.67102727138152,12.686920874717,4.43536704281665,0.62250334310847,4.72622487587209,1.65229548275644,0.599322518613505,4.5502293722588,1.59076718411576,0.185894439512637,1.41136418629294,0.49341508937527,0.545854464074422,NA,0.5891829194744,0.415637354090074,0.11372717956637,-0.117920492717421,0.138639621923573,0.460013536361584,NA,0.323425549238635,5.1469959833582,1.00763608810277,0.568029423295401,1.23532914580028e-05,2.09333964287937,3.69630581294231,0.680414538423351,13.7358244283423,0.99971144175281
