"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"853",944,944,944,944,247,548,88,240,721,924,337.5,348
"854",944,944,944,944,247,548,88,240,721,924,337.5,348
"855",944,944,944,944,247,548,88,240,721,924,337.5,348
"856",944,944,944,944,247,548,88,240,721,924,337.5,348
"857",944,944,944,944,247,548,88,240,721,924,337.5,348
"858",944,944,944,944,247,548,88,240,721,924,337.5,348
"859",944,944,944,944,247,548,88,240,721,924,337.5,348
"860",944,944,944,944,247,548,88,240,721,924,337.5,348
"861",944,944,944,944,247,548,88,240,721,924,337.5,348
"97",933,933,933,933,369.5,704.5,9.5,156,828.5,858,489,359
"98",933,933,933,933,369.5,704.5,9.5,156,828.5,858,489,359
"99",933,933,933,933,369.5,704.5,9.5,156,828.5,858,489,359
"100",933,933,933,933,369.5,704.5,9.5,156,828.5,858,489,359
"101",933,933,933,933,369.5,704.5,9.5,156,828.5,858,489,359
"102",933,933,933,933,369.5,704.5,9.5,156,828.5,858,489,359
"103",933,933,933,933,369.5,704.5,9.5,156,828.5,858,489,359
"104",933,933,933,933,4,32,939,945,17,858,379,773
"105",933,933,933,933,369.5,704.5,9.5,152,828.5,858,476,355
"289",933,933,933,933,194,379,52,181,689,858,120,280
"565",933,933,933,933,428.5,319.5,4.5,150.5,906.5,858,256.5,327.5
"566",933,933,933,933,428.5,319.5,4.5,150.5,906.5,858,256.5,327.5
"862",933,933,933,933,252,358,80,231,730,858,190,312
"1",915,917.5,915,915,319.5,570.5,45.5,197.5,800.5,788,305.5,323.5
"2",915,906,915,915,276,372,63,209,778,924,240,336
"3",915,906,915,915,20,83,908,911,56,924,471,831
"4",915,917.5,915,915,319.5,570.5,45.5,197.5,800.5,788,305.5,323.5
"106",915,906,915,915,336,710,25,171,816,924,547,413
"107",915,917.5,915,915,3,49,938,946,9,788,315,723
"108",915,906,915,915,336,710,25,171,816,924,547,413
"109",915,906,915,915,336,710,25,171,816,924,547,413
"290",915,917.5,915,915,223,288,53,186,711,788,89,248
"291",915,917.5,915,915,7,65,942,948,11,788,327,730
"385",915,917.5,915,915,217.5,774.5,18.5,164.5,751.5,788,296.5,304.5
"386",915,917.5,915,915,217.5,774.5,18.5,164.5,751.5,788,296.5,304.5
"387",915,917.5,915,915,217.5,774.5,18.5,164.5,751.5,788,296.5,304.5
"388",915,917.5,915,915,217.5,774.5,18.5,164.5,751.5,788,296.5,304.5
"389",915,917.5,915,915,217.5,774.5,18.5,164.5,751.5,788,296.5,304.5
"390",915,917.5,915,915,217.5,774.5,18.5,164.5,751.5,788,296.5,304.5
"391",915,917.5,915,915,217.5,774.5,18.5,164.5,751.5,788,296.5,304.5
"392",915,917.5,915,915,217.5,774.5,18.5,164.5,751.5,788,296.5,304.5
"393",915,917.5,915,915,22,34,937,944,120,788,409,809.5
"394",915,917.5,915,915,217.5,774.5,18.5,164.5,751.5,788,296.5,304.5
"395",915,917.5,915,915,217.5,774.5,18.5,164.5,751.5,788,296.5,304.5
"567",915,917.5,915,915,298,165,79,225,663,788,82,250
"863",915,917.5,915,915,24,26,903,895,73,788,287.5,718
"110",881.5,897,881.5,897,203,389,44,201,701,741,100,244
"292",881.5,897,881.5,897,238.5,588,58.5,192.5,706.5,741,207.5,292.5
"293",881.5,897,881.5,897,238.5,588,58.5,192.5,706.5,741,207.5,292.5
"294",881.5,897,881.5,897,238.5,588,58.5,192.5,706.5,741,207.5,292.5
