"","ARI"
"Purity",0.987401161202256
"Fmeasure",0.90547440780112
"RI",0.999813992936525
"ARI",1
"ball_hall",-0.332543006433753
"banfeld_raftery",NA
"c_index",-0.178384994835527
"calinski_harabasz",0.364921350698273
"davies_bouldin",0.212121013712344
"det_ratio",0.524137501246882
"dunn",-0.0133497160801142
"gamma",NA
"g_plus",-0.049896619606329
"gdi11",-0.0133497160801142
"gdi12",-0.0714810867857922
"gdi13",-0.0703875278580026
"gdi21",-0.015020165279615
"gdi22",-0.217552012217178
"gdi23",-0.201968148044734
"gdi31",0.0781376375267866
"gdi32",-0.0886109258228193
"gdi33",-0.0796243645067128
"gdi41",0.000776117119311969
"gdi42",-0.128575093027652
"gdi43",-0.120615566971104
"gdi51",0.310405752316126
"gdi52",0.0200296202769472
"gdi53",0.075838734931105
"ksq_detw",-0.257502894673204
"log_det_ratio",0.578400337460419
"log_ss_ratio",0.176842982547838
"mcclain_rao",0.114081416512074
"pbm",-0.592195987957817
"point_biserial",0.635854303981099
"ray_turi",0.133455563628779
"ratkowsky_lance",0.636568978547228
"scott_symons",NA
"sd_scat",-0.0938213431512855
"sd_dis",0.75059486298524
"s_dbw",-0.311816338569251
"silhouette",-0.175936236768388
"tau",-0.0962080610758122
"trace_w",-0.358469014736144
"trace_wib",0.657205694538837
"wemmert_gancarski",-0.0535106337380661
"xie_beni",0.0937406889683801
"infomax",0.398025339548316
"Time",0.0182550904884374
