"","ARI"
"Purity",0.962894408866191
"Fmeasure",0.159901160100591
"RI",0.998983444979666
"ARI",1
"ball_hall",0.0982075175418712
"banfeld_raftery",NA
"c_index",-0.399671133412214
"calinski_harabasz",0.710534383780367
"davies_bouldin",-0.0248473951218806
"det_ratio",-0.0446831656135673
"dunn",-0.292080915458575
"gamma",NA
"g_plus",0.0288800690846731
"gdi11",-0.292080915458575
"gdi12",-0.29362031621314
"gdi13",-0.288849752108034
"gdi21",0.21934243506091
"gdi22",0.247592438974984
"gdi23",0.252395378848158
"gdi31",0.0490455563801167
"gdi32",0.0507610451122832
"gdi33",0.0593229081456714
"gdi41",0.0726054415811187
"gdi42",0.0699857727663497
"gdi43",0.0766362438678037
"gdi51",0.392126755573538
"gdi52",0.48339358386702
"gdi53",0.48296855620915
"ksq_detw",-0.0968259141253299
"log_det_ratio",0.275857657213687
"log_ss_ratio",0.633357866227665
"mcclain_rao",-0.376150280764111
"pbm",0.509265978328628
"point_biserial",-0.508020635328269
"ray_turi",0.00145148196941655
"ratkowsky_lance",0.110667757347372
"scott_symons",NA
"sd_scat",-0.35675248339236
"sd_dis",-0.0595219124995621
"s_dbw",NA
"silhouette",-0.088814374472871
"tau",-0.0363493160290771
"trace_w",-0.146435828846667
"trace_wib",0.478215287403681
"wemmert_gancarski",0.297015532913122
"xie_beni",NA
"infomax",0.596294315100279
"Time",0.0229794119397936
