"","Purity","Fmeasure","RI","ball_hall","banfeld_raftery","c_index","calinski_harabasz","davies_bouldin","det_ratio","dunn","gamma","g_plus","gdi11","gdi12","gdi13","gdi21","gdi22","gdi23","gdi31","gdi32","gdi33","gdi41","gdi42","gdi43","gdi51","gdi52","gdi53","ksq_detw","log_det_ratio","log_ss_ratio","mcclain_rao","pbm","point_biserial","ray_turi","ratkowsky_lance","scott_symons","sd_scat","sd_dis","s_dbw","silhouette","tau","trace_w","trace_wib","wemmert_gancarski","xie_beni","infomax"
"1",0.99,0.9798,0.98,0.00141163535943425,-656.603240283502,0.0839670675911783,91.3797224612475,0.946287090980608,10.0276599194799,0.251329689523316,-7.2857141494751,8.08244071649431e-06,0.251329689523316,1.26657659028597,0.452854861926809,1.19158140605889,6.00497743500461,2.14703417705567,0.675607430374645,3.40472531183548,1.21733373474228,0.556828751089168,2.80613986459521,1.00331404407345,0.263740625845383,1.32912153449402,0.475217332772065,1.63772342557068e-06,230.534726662564,-0.0699438797336733,0.558090493659873,0.00287389544454084,-0.0194751122555383,0.268004753575235,0.484814777189167,-3336.21361176531,0.510554965475572,27.5299685953613,0.510554965475572,0.440028591101693,5.88801758947352e-06,0.141446125753413,9.02765991947991,0.576727167698604,1.31552228794892,0.99971144175281
"2",0.99,0.9798,0.98,0.0350280594525787,-335.140583180784,0.459693799243352,5.51894350844737,3.66977650335484,10.0772177916484,0.0656391999508683,6.14285707473755,1.46953471849533e-06,0.0656391999508683,0.477928169187343,0.165471745938675,1.01284860612723,7.37469195774278,2.55331916526823,0.292298869517553,2.12826883430358,0.736864622225343,0.105247133585845,0.766319057888413,0.265320524359321,0.193012271509156,1.4053492672383,0.486570183337327,1.31090238949375e-06,231.02772118114,-2.87678103009684,0.935059401760146,0.00213560998438088,-0.0080132713933858,4.43747973910495,0.399923597082755,-4287.4815773646,0.979809910007902,22.5062359695433,2.06314328307767,0.0647479957034038,-4.96440679348136e-06,3.50421414637322,9.07721779164835,0.144242052860959,11.4085481170531,0.99971144175281
"3",0.99,0.9798,0.98,0.000722355507285837,-723.619466109497,0.147765910452729,85.5606507226584,0.933557580227222,4.94245011264658,0.121925049483716,3.57142853736877,7.34767359247663e-07,0.121925049483716,0.728176484435728,0.259594584512431,1.09788001023425,6.55690040373051,2.33753200271884,0.564332289656512,3.37037798611291,1.20153821450691,0.470803763337972,2.81179487478774,1.00240359014111,0.220062735386006,1.31428701228531,0.468542720311376,0.00348723980673346,159.786118246523,-0.135741989031123,0.556541417842985,0.00137356965515777,-0.0133646480879083,0.286232044674182,0.479012101648323,-1639.98066091375,0.529746866255562,39.7713274351091,0.779746866255562,0.431976489406418,-2.88628309869455e-06,0.0723832486985906,3.94245011264657,0.571102319027688,4.26788022986969,0.99971144175281
"4",0.97,0.9406,0.9412,0.000778452157272317,-716.306884873339,0.0983708607650947,111.122272380921,0.821984699636501,6.03305436474023,0.106112023565362,13.5714282989502,-6.85782887449552e-06,0.106112023565362,0.676624885014465,0.241103554836637,1.07068106333774,6.8272136090386,2.43275928394665,0.587500677102589,3.74620674202484,1.33489586720692,0.505981167685118,3.22639638658425,1.14967045307669,0.208196398719683,1.32756741046747,0.47305564580607,0.00424414538566915,179.725341064631,0.125663669358724,0.504552628095288,0.00224897470335719,-0.0171144552910323,0.220389661543719,0.514520968857335,-1609.54555318342,0.473786875980682,33.611511408648,0.591433935242481,0.4874655191292,-1.09678754343561e-05,0.0780324289538037,5.03305436474023,0.617395325388098,5.01107301270256,0.99971144175281
"5",0.97,0.9406,0.9412,0.0342428276221146,-337.407979578346,0.467701034917645,4.83325837819502,3.88663618169034,6.10343716103752,0.0430802322399023,-1.85714280605316,9.63361651927781e-06,0.0430802322399023,0.318833195435412,0.110441263670825,1.01338044765954,7.49994393065956,2.59792047070636,0.284195184104694,2.10330478654031,0.72856792152141,0.0976026113239502,0.722348762605607,0.250215822239818,0.189565641715772,1.4029594584456,0.485973912653825,0.0043425976481019,180.885208151275,-3.00944662599205,0.945620986356937,0.001810358971034,-0.00650937937403688,5.06701651012208,0.371886335347525,-2533.7960285789,0.975633406957851,24.3235295443496,1.87563338311599,0.052728952914022,1.50086724538948e-06,3.42577724988662,5.10343716103752,0.114859051210361,26.0087285557693,0.99971144175281
"6",0.97,0.9406,0.9412,0.0161902178024887,-412.740709592555,0.446383129418878,6.99278030318558,3.02160154484099,5.13735420321789,0.0318464651994133,14.4285717010498,3.83711825912469e-06,0.0318464651994133,0.248951119311552,0.0910008039578891,1.00307464830112,7.84126448206896,2.86627099282781,0.276441818079685,2.16100906661144,0.789928412315452,0.114130084913657,0.89218103825541,0.326125032021333,0.172376796210227,1.34750893360264,0.49256414928916,0.00520491921042583,163.653820048397,-2.64008924711823,0.901644714416917,0.00134621488160503,-0.00809267783657723,3.50221212996545,0.399320542224615,-2054.69560668106,0.968112029717112,29.4366664995391,1.96811202971711,0.0984258249486514,-1.16605831054963e-05,1.61668416319061,4.13735420321789,0.215457678251901,44.9800836797186,0.99971144175281
"7",0.96,0.9216,0.9224,0.000693543825777778,-727.372344279264,0.126110742776314,96.6569388131554,0.870796826197514,5.94846601118675,0.119473501913811,-0.25,-2.85742863497847e-06,0.119473501913811,0.812320369501637,0.289641911648297,1.13207292003991,7.697153577812,2.74450618282015,0.558294442832982,3.79593751608593,1.35348397003899,0.472714493484536,3.21406509280322,1.14601085063608,0.20581914031195,1.39939884100263,0.498971305760905,0.00288944455793867,178.313337307207,-0.0137994823893566,0.526379048040762,0.00161311267063573,-0.0146289630803864,0.253473783681068,0.500120305842273,-1646.69298636408,0.507568980745986,38.2348653086137,0.896457876257613,0.462368237320985,1.61632502002251e-06,0.0693543825777778,4.94846601118675,0.598132513075167,3.96814649205341,1
"8",0.96,0.9216,0.9224,0.0189403626026667,-396.714163110806,0.467034147741473,3.9053252271027,4.27452298830001,5.96139533452478,0.0338836398254612,0.428571432828903,9.14377133083671e-06,0.0338836398254612,0.257606689685785,0.0868535412767067,1.00359691087519,7.63003264469743,2.57250833065387,0.279671233063661,2.12625269661066,0.716878030516354,0.0887347605173566,0.674622562236082,0.227452783259775,0.189649386846368,1.44184482535199,0.486126075398365,0.00513101409499298,178.530457020726,-3.22262641405749,0.938608562332296,0.000805000898718036,-0.00531556391787059,6.27348519656484,0.409133864048691,-2051.87293008815,0.995040312825748,36.399070198835,2.09760440927655,0.0647212273513113,-2.77084284280788e-06,1.89403626026667,4.96139533452478,0.15254199800788,43.0245490721858,1
"9",0.94,0.8857,0.8861,0.000598725610909654,-742.287279731704,0.160750799156602,77.2043548780473,0.993760074458792,4.82925576407914,0.0667187936793353,0.03125,-2.53086523874573e-06,0.0667187936793353,0.403598314393577,0.140887125651011,1.11892784689477,6.76866843704096,2.36279044428685,0.572835262154798,3.46522071939809,1.20963088667968,0.470319536783044,2.84507800282362,0.993152963666385,0.234063024266742,1.41590452773998,0.494260535773714,0.0023333829245692,157.469236968002,-0.238511612893445,0.576342993589356,0.000937018806910963,-0.0112766078965217,0.31276992131005,0.468774028051782,-1668.50648574758,0.566975536115898,45.7581404408467,1.15521085477663,0.411281289719563,-2.30894066037539e-07,0.0597514210389611,3.82925576407914,0.548632849011066,15.5422771488622,0.989587521222056
"10",0.92,0.8517,0.8513,0.0344380690332389,-335.973359311717,0.499341740706838,1.46516339967423,6.87925904606713,4.93153536627788,0.0224825384107147,-0.916666686534882,-4.8168082596389e-06,0.0224825384107147,0.162091065642446,0.0562510675909267,0.993167974739534,7.16038609371438,2.48489551560567,0.27066296233197,1.95138321095548,0.677195800152181,0.0543894287355589,0.392128339886616,0.136081761594044,0.189121326130521,1.36349716069424,0.473179509569242,0.00206880051306077,159.565037289139,-4.20300070680737,0.994544370558127,0.000550039801720074,-0.000627540162212033,16.2936093034456,0.330833904297003,-2612.4918673427,0.987486120151621,43.257732268592,2.02081942169581,0.0229141456058187,-7.62037515747094e-06,3.48297047485495,3.93153536627788,0.0803340490079438,95.3576643112073,0.981453895033654
