"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"673",960,960,960,960,279,387,542,604,686,942,658,844
"97",954.5,954.5,954.5,954.5,274.5,749.5,651.5,694.5,653.5,882,924.5,933
"98",954.5,954.5,954.5,954.5,274.5,749.5,651.5,694.5,653.5,882,924.5,933
"99",954.5,954.5,954.5,954.5,274.5,749.5,651.5,694.5,653.5,882,924.5,933
"100",954.5,954.5,954.5,954.5,296,624,607,660,664,882,858,906
"101",954.5,954.5,954.5,954.5,274.5,749.5,651.5,694.5,653.5,882,924.5,933
"289",954.5,954.5,954.5,954.5,221,298,706,760,627,882,714,910
"290",954.5,954.5,954.5,954.5,183,434,723,778,597,882,767,923
"674",954.5,954.5,954.5,954.5,305.5,390.5,513.5,566.5,687.5,882,613.5,772.5
"675",954.5,954.5,954.5,954.5,305.5,390.5,513.5,566.5,687.5,882,613.5,772.5
"769",954.5,954.5,954.5,954.5,243,411,752,812,610,882,827,946
"102",938,945.5,938,938,232,580,680,738,630,805,803,904.5
"103",938,934,938,938,251,30,649,690,641,942,538,851
"104",938,934,938,938,239,412,676,716,636,942,785,926
"105",938,945.5,938,938,250,504,658,703,635,805,756,869
"193",938,934,938,938,181,266,720,770,598,942,688,920
"194",938,945.5,938,938,125,172,890,859,479,805,605,903
"291",938,934,938,938,229,116,688,744,631,942,627,902
"481",938,945.5,938,938,256,148,678,718,642,805,564,838
"676",938,934,938,938,412.5,165.5,422.5,464.5,786.5,942,535.5,696.5
"677",938,934,938,938,343.5,188.5,511.5,564.5,731.5,942,575.5,801.5
"678",938,934,938,938,412.5,165.5,422.5,464.5,786.5,942,535.5,696.5
"679",938,934,938,938,491,112,342,408,867,942,530,651
"680",938,934,938,938,343.5,188.5,511.5,564.5,731.5,942,575.5,801.5
"770",938,934,938,938,662.5,138.5,295.5,365.5,912.5,942,595.5,679.5
"771",938,934,938,938,261.5,423.5,746.5,808.5,614.5,942,886.5,955.5
"772",938,945.5,938,938,692,228,282,351,934,805,578,564
"773",938,934,938,938,662.5,138.5,295.5,365.5,912.5,942,595.5,679.5
"774",938,934,938,938,689.5,238.5,277.5,347.5,939.5,942,656.5,701.5
"775",938,934,938,938,261.5,423.5,746.5,808.5,614.5,942,886.5,955.5
"776",938,945.5,938,938,692,228,282,351,934,805,578,564
"777",938,934,938,938,689.5,238.5,277.5,347.5,939.5,942,656.5,701.5
"778",938,945.5,938,938,692,228,282,351,934,805,578,564
"779",938,945.5,938,938,659,327,331,397,911,805,655,666
"1",910,919.5,910,919.5,449,753,380,440,789,739.5,750,664
"2",910,919.5,910,919.5,310,361,554,613,684,739.5,569,699
"3",910,919.5,910,919.5,449,753,380,440,789,739.5,750,664
"4",910,919.5,910,919.5,449,753,380,440,789,739.5,750,664
"106",910,919.5,910,919.5,415.5,521.5,467.5,519.5,741.5,739.5,647,683.5
"107",910,919.5,910,919.5,415.5,521.5,467.5,519.5,741.5,739.5,647,683.5
"195",910,919.5,910,919.5,384.5,71.5,540.5,610.5,729.5,739.5,494.5,681.5
"196",910,919.5,910,919.5,384.5,71.5,540.5,610.5,729.5,739.5,494.5,681.5
"197",910,919.5,910,919.5,311,321,624,667,685,739.5,626,807
"385",910,919.5,910,919.5,224,54,915,885,461,739.5,574,874
"577",910,919.5,910,919.5,213,77,880,856,486,739.5,565,862
"781",910,919.5,910,919.5,708,320,279,349,931,739.5,603,537
"782",910,919.5,910,919.5,722,205,258,328,958,739.5,541,495
"783",910,919.5,910,919.5,664,582,328,394,898,739.5,770,692
"108",910,903,910,903,295,157,595,646,682,882,566,817
"109",910,903,910,903,388,92,469,515,763,882,503,693
"110",910,903,910,903,271.5,301.5,644.5,685.5,658.5,882,659.5,863.5
"111",910,903,910,903,238,213,600,653,649,882,557,806
"112",910,903,910,903,280,170,604,654,669,882,568,818
"113",910,903,910,903,271.5,301.5,644.5,685.5,658.5,882,659.5,863.5
"198",910,903,910,903,161,85,724,783,525,882,527,848
"482",910,903,910,903,379,244,590,645,710,882,677,861
"483",910,903,910,903,331,417,631,669,690,882,784,904.5
"681",910,903,910,903,515,246,333,398.5,869,882,561.5,633.5
"682",910,903,910,903,515,246,333,398.5,869,882,561.5,633.5
"683",910,903,910,903,307.5,354.5,659.5,691.5,644.5,882,746.5,900.5
"684",910,903,910,903,515,246,333,400,869,882,563,635
"685",910,903,910,903,307.5,354.5,659.5,691.5,644.5,882,746.5,900.5
"780",910,903,910,903,709.5,250.5,259.5,329.5,959.5,882,639.5,647.5
"784",910,903,910,903,676,294,284,353,932,882,653,670
"785",910,903,910,903,709.5,250.5,259.5,329.5,959.5,882,639.5,647.5
"786",910,903,910,903,630,375,343,409,899,882,745,778
"865",910,903,910,903,378,18,741,803,605,882,654,909
"5",853.5,877,853.5,877,438,441.5,424,466,746,669,534,512
"578",853.5,877,853.5,877,718,467.5,330,396,897,669,689,589
"579",853.5,877,853.5,877,465,658,566,634,714,669,826,839
"686",853.5,877,853.5,877,333,714,536,595,678,669,742,745
"687",853.5,877,853.5,877,333,714,536,595,678,669,742,745
"688",853.5,877,853.5,877,333,714,536,595,678,669,742,745
"787",853.5,877,853.5,877,769.5,719.5,253.5,319.5,953.5,669,818.5,616.5
"788",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"789",853.5,877,853.5,877,728,595,264,334,927,669,731,544
"790",853.5,877,853.5,877,769.5,719.5,253.5,319.5,953.5,669,818.5,616.5
"791",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"792",853.5,877,853.5,877,769.5,719.5,253.5,319.5,953.5,669,818.5,616.5
"793",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"794",853.5,877,853.5,877,361,433,726,802,617,669,771,882
"795",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"796",853.5,877,853.5,877,769.5,719.5,253.5,319.5,953.5,669,818.5,616.5
"797",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"798",853.5,877,853.5,877,728,595,264,334,927,669,731,544
"799",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"800",853.5,877,853.5,877,728,595,264,334,927,669,731,544
"801",853.5,877,853.5,877,769.5,719.5,253.5,319.5,953.5,669,818.5,616.5
"802",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"803",853.5,877,853.5,877,728,595,264,334,927,669,731,544
"804",853.5,877,853.5,877,769.5,719.5,253.5,319.5,953.5,669,818.5,616.5
"805",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"806",853.5,877,853.5,877,728,595,264,334,927,669,731,544
"807",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"808",853.5,877,853.5,877,728,595,264,334,927,669,731,544
"809",853.5,877,853.5,877,769.5,719.5,253.5,319.5,953.5,669,818.5,616.5
"810",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"811",853.5,877,853.5,877,728,595,264,334,927,669,731,544
"812",853.5,877,853.5,877,769.5,719.5,253.5,319.5,953.5,669,818.5,616.5
"813",853.5,877,853.5,877,683,788,302,376,905,669,840,657
"114",853.5,814,853.5,837,377,75,477,523,761,942,524,751
"292",853.5,837.5,853.5,837,316.5,606.5,671.5,712.5,674.5,805,883.5,923
"293",853.5,837.5,853.5,837,316.5,606.5,671.5,712.5,674.5,805,883.5,923
"294",853.5,837.5,853.5,837,427,526,560,621,758,805,824,872
"295",853.5,837.5,853.5,837,316.5,606.5,671.5,712.5,674.5,805,883.5,923
"296",853.5,837.5,853.5,837,427,526,560,621,758,805,824,872
"297",853.5,837.5,853.5,837,259.5,678.5,690.5,753.5,647.5,805,894.5,929.5
"298",853.5,837.5,853.5,837,316.5,606.5,671.5,712.5,674.5,805,883.5,923
"299",853.5,837.5,853.5,837,427,526,560,621,758,805,824,872
"300",853.5,837.5,853.5,837,259.5,678.5,690.5,753.5,647.5,805,894.5,929.5
"386",853.5,837.5,853.5,837,673,173,383,442,889,805,629,694
