"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"193",947,948,948,948,585,257,738,856,485,351.5,585,585.5
"757",947,947,947,947,135,25,915,916,356,385,365,553
"565",942,946,946,946,389,873,562,753,500,318,662,462
"1",927.5,945,945,945,789,596,626,82,456,246,400,339
"289",947,943,944,944,128,20,917,923,312,497.5,401,609.5
"194",927.5,943,942,942.5,281,866.5,685,780,555,367.5,743,651
"195",927.5,943,942,942.5,649,722,722,811,573,367.5,931,829
"661",927.5,941,942,941,155,201,928,909,416,466,506,702
"373",942,937,939,940,224,185,927,928,264,481,476,622
"2",942,934.5,939,938.5,243,294,469,617,686,565.5,426,457
"196",942,934.5,939,938.5,390,207,412,460,772,565.5,403,426
"853",927.5,936,937,937,196,115,888,913,391,425,452,619.5
"469",870,939.5,934,935.5,870,387,659,82,434,234,342,318
"471",870,939.5,934,935.5,872,431,679,82,420,234,361,324
"470",870,938,934,934,871,498,569,82,498,251.5,386,332
"3",942,931.5,934,932.5,205,292,586,712,628,535,462,538.5
"472",942,931.5,934,932.5,106,91,916,924,322,535,428,649
"4",909.5,924,930.5,931,319,296.5,380,515,764,558.5,413,429
"5",927.5,922,930.5,930,206,668,536,662,681,575,614,618
"6",942,916,929,929,360,389,405,532,743,623.5,496.5,464
"566",870,933,928,928,713,564,697,801,427,269.5,709,529
"198",927.5,917,926.5,927,185,375,755,859,402,442,480,554
"197",927.5,915,926.5,926,257,71,561,673,642,505,357.5,453
"7",870,909,925,925,44,125,825,795,426,519,366,546
"10",927.5,903.5,919.5,920.5,308,114,725,797,530,546,483,625
"199",927.5,903.5,919.5,920.5,553,750,463,611,763,546,851,713.5
"200",927.5,903.5,919.5,920.5,407,866.5,612,720,675,546,924,871
"201",927.5,903.5,919.5,920.5,651,774,300,418,886,546,784.5,550
"202",927.5,903.5,919.5,920.5,407,866.5,612,720,675,546,924,871
"203",927.5,903.5,919.5,920.5,651,774,300,418,886,546,784.5,550
"204",927.5,903.5,919.5,920.5,651,774,300,418,886,546,784.5,550
"205",927.5,903.5,919.5,920.5,407,866.5,612,720,675,546,924,871
"8",927.5,897.5,919.5,915.5,422.5,272.5,313.5,429.5,836.5,683,460.5,450.5
"9",927.5,897.5,919.5,915.5,422.5,272.5,313.5,429.5,836.5,683,460.5,450.5
