"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"1",910,924,923,924,817,488,309,56,486,224,244,217
"3",910,923,923,923,818,415,466,56,447,236,264.5,234
"2",910,922,923,922,196,510,428,638,519,321,337,342
"4",910,919,919,919,702,143,736,858.5,427,268,641.5,645.5
"5",910,919,919,919,702,143,736,858.5,427,268,641.5,645.5
"6",910,919,919,919,566.5,89.5,582.5,690.5,313.5,268,294,316.5
"7",910,919,919,919,566.5,89.5,582.5,690.5,313.5,268,294,316.5
"8",910,919,919,919,702,143,736,860,427,268,644.5,647.5
"193",910,913,916,916,478,224,796,856,387,321,585.5,652
"97",922,902,915,915,438,131,559,618,419,419.5,325,372.5
"9",871,915,913,913,819,672,474,56,441,236,373,247
"10",871,916,913,913,820,466,267,56,523,229.5,241,216
"11",871,914,913,913,821,464,487,56,434,240,288,239
"12",910,901,911,911,284,569.5,513,661,525,341.5,494,448
"13",922,894,910,910,280,76,814,848,466,468,528.5,744
"15",871,908,903,905,695.5,155.5,740.5,863.5,408.5,259,629,631.5
"16",871,908,903,905,695.5,155.5,740.5,863.5,408.5,259,629,631.5
"98",871,908,903,905,728,255.5,768,878,393,259,733,704
"277",871,908,903,905,441,726.5,501.5,688.5,406.5,259,571,401
"279",871,908,903,905,440,726.5,501.5,688.5,406.5,259,570,400
"373",871,908,903,905,725,184,817,893,397,259,730.5,733
"374",871,908,903,905,722,290,590,734,358,259,530,416
"375",871,908,903,905,725,184,817,893,397,259,730.5,733
"376",871,908,903,905,725,184,817,893,397,259,730.5,733
"14",871,903,903,900,697,169,748,867,435,273.5,674.5,693
"17",871,899.5,903,898.5,99.5,661.5,600.5,722.5,429,329.5,463,451
"18",871,899.5,903,898.5,99.5,661.5,600.5,722.5,430,329.5,464,453
"278",871,886,903,897,140,243,467,539,649,641.5,367,518
"19",922,888.5,895,895.5,245.5,503.5,448.5,547.5,631.5,494,484.5,485.5
"20",922,888.5,895,895.5,245.5,503.5,448.5,547.5,631.5,494,484.5,485.5
"21",910,883,895,894,275,537,220,345,845,680.5,496,479
"22",922,879,893,893,204,151,450,535,654,555,313.5,433
"194",871,896.5,890.5,891.5,537.5,272.5,779.5,853.5,423.5,311,668.5,706.5
"196",871,896.5,890.5,891.5,537.5,272.5,779.5,853.5,423.5,311,668.5,706.5
"195",871,895,890.5,890,493,139,792,855,403,319,559,643
"23",871,871,890.5,889,104,564,577,627,573,695.5,647,741
"280",815,898,888,888,860,633,427,56,454,236,361,243.5
"197",910,890,886.5,887,181,164,462,609,494,386,222,321
"24",910,870,886.5,886,111,37,563,621,555,548,262.5,456
"25",871,891.5,881.5,884.5,404,304,431,619,542,329.5,347,352
"32",871,891.5,881.5,884.5,394,82,831,832,471,329.5,520,688
"26",871,887,881.5,883,278,464,507,658,527,340,413,407
"30",871,868.5,881.5,881.5,266,12,202,355,770,513.5,152,291
"31",871,868.5,881.5,881.5,147,696.5,482,583,589,511,567,542
"27",871,839,881.5,879,163,467,475,524,672,830,638,754
"28",871,839,881.5,879,298,187,207,323,886,836.5,395,506
"29",871,839,881.5,879,141,691,556,589,626,830,798,844
"282",815,893,876,877,554,566,417,647,470,268,507,360
"99",815,854,876,876,240,718,383,436,652,531.5,540,449
"281",815,831,876,875,158,595,425,497,695,761.5,639,700
"33",910,856,874,874,188,569.5,494,605,596,488,522,535
"36",871,875,870,871.5,249,711,483,632,550,374,558,482
"377",871,877,870,871.5,385,521,683,676,489,368,626,599
"378",871,877,870,871.5,385,521,683,676,489,368,626,599
"379",871,877,870,871.5,385,521,683,676,489,368,626,599
"34",871,873.5,870,868.5,364.5,169,839.5,836.5,507.5,380,609.5,774.5
"35",871,873.5,870,868.5,364.5,169,839.5,836.5,507.5,380,609.5,774.5
"283",871,830,870,867,189,400,334,447,703,715,423.5,497
"198",910,864.5,864.5,865.5,540.5,178.5,268.5,367.5,458.5,472.5,220.5,271.5
"199",910,864.5,864.5,865.5,540.5,178.5,268.5,367.5,458.5,472.5,220.5,271.5
"284",910,841,864.5,864,236,613,418,523,648,531.5,545,520
"380",910,825,864.5,863,247,40,681,518,476,761.5,386.5,582
"381",910,822,862,862,232,124,861,812,554,772.5,764,905
"553",815,884,858,860.5,555,451,472,663,468,309,503,398
"554",815,882,858,860.5,475,424,470,660,475,311,441.5,380
"285",815,880.5,858,858.5,659.5,322.5,676.5,818.5,455.5,316.5,718.5,689.5
"286",815,880.5,858,858.5,659.5,322.5,676.5,818.5,455.5,316.5,718.5,689.5
"100",871,863,858,857,505,255.5,769,838,538,404.5,742,810
"37",871,828,858,856,136,696.5,545,598,582,552,619,629
"555",815,819,858,855,169,669,440,499,662,695.5,641.5,649
"101",771.5,885,852,854,831,300,804,56,359,229.5,320,270
"102",771.5,872,852,853,47,70,673,759,384,316.5,208,372.5
"103",771.5,820.5,852,851.5,357.5,447.5,280.5,357.5,734.5,575.5,401,376
"104",771.5,820.5,852,851.5,357.5,447.5,280.5,357.5,734.5,575.5,401,376
"287",771.5,811,852,850,155,526,411,491,694,786,587,673.5
"382",871,826,848,849,252,377,705,625,502,502,541,613
"105",871,808,848,847.5,391,46,251,354,884,798.5,389,525
"288",871,804.5,848,847.5,203,301,402,478,738,830,528.5,677.5
"291",815,866,841,846,184,478,490,643,511,326,348,361
"38",815,859.5,841,842.5,629.5,585.5,195.5,415.5,669.5,336,457.5,303.5
"39",815,859.5,841,842.5,666,233,179,400,673,332.5,278,277
"40",815,859.5,841,842.5,629.5,585.5,195.5,415.5,669.5,336,457.5,303.5
"41",815,859.5,841,842.5,360,589,485,654,524,336,526,438
"42",815,859.5,841,842.5,629.5,585.5,195.5,415.5,669.5,336,457.5,303.5
"43",815,859.5,841,842.5,629.5,585.5,195.5,415.5,669.5,336,457.5,303.5
"289",815,790.5,841,837.5,250.5,645.5,287.5,389.5,815.5,866,720.5,728.5
"290",815,790.5,841,837.5,250.5,645.5,287.5,389.5,815.5,866,720.5,728.5
"292",815,790.5,841,837.5,446.5,627.5,168.5,284.5,902.5,866,736.5,667.5
"293",815,790.5,841,837.5,446.5,627.5,168.5,284.5,902.5,866,736.5,667.5
"294",871,827,833.5,835,312,193,422,551,591,456,306,366.5
"200",871,794.5,833.5,833.5,285,548,353,397,715,786,604,605
"556",871,794.5,833.5,833.5,179,244,503,348,417,786,274,368
"295",871,788,833.5,832,324,118,664,732,665,805.5,740,888
"296",771.5,867,829,831,495,803,463,667,465,273.5,664,446
"46",871,816,829,830,183,464,495,608,584,485,445,488
"201",771.5,781,829,829,239,107,292,343,773,830,323.5,464
"44",771.5,769,829,827.5,281.5,470.5,234.5,333.5,880.5,911.5,621.5,680.5
"45",771.5,769,829,827.5,281.5,470.5,234.5,333.5,880.5,911.5,621.5,680.5
"49",815,843,812,826,170,72,665,622,296,343.5,165,309
"47",815,835.5,812,823.5,206,343,567,678,480,363,352,404
"297",815,835.5,812,823.5,603,409,291,517,574,363,404.5,318
"298",815,835.5,812,823.5,510,403,376,581,545,363,414,354
"299",815,835.5,812,823.5,677,369,189,393,659,363,355,280
"106",704,796.5,823.5,820.5,422.5,551.5,215.5,314.5,831,637,547,452
"107",704,796.5,823.5,820.5,422.5,551.5,215.5,314.5,832,637,548,454
"557",704,785.5,823.5,817.5,321.5,366.5,254.5,328.5,795.5,725.5,427,443.5
"558",704,785.5,823.5,817.5,321.5,366.5,254.5,328.5,795.5,725.5,427,443.5
"559",704,785.5,823.5,817.5,321.5,366.5,254.5,328.5,795.5,725.5,427,443.5
"560",704,785.5,823.5,817.5,321.5,366.5,254.5,328.5,795.5,725.5,427,443.5
"109",871,807,812,815,152,36,785,659,169,536,232,388
"48",871,804.5,812,814,103,45,616,655,529,592.5,310.5,534
"108",815,762,812,808.5,300,236,744,770,633,844,828,909
"202",815,762,812,808.5,472,216,175,272,890,844,481,514
"203",815,762,812,808.5,472,216,175,272,890,844,481,514
"204",815,762,812,808.5,472,216,175,272,890,844,481,514
"205",815,762,812,808.5,472,216,175,272,890,844,481,514
"206",815,762,812,808.5,472,216,175,272,890,844,481,514
"300",815,762,812,808.5,455,278,170,286,904,844,518,539
"301",815,762,812,808.5,202,420,384,450,764,844,590,705
"561",815,762,812,808.5,233,699,369,438,790,844,772,791
"562",815,762,812,808.5,390,330,229,325,885,844,561,601.5
"110",871,810,797.5,803,67,63,890,684,167,527.5,251,434
"207",871,803,797.5,802,244,192,404,487,604,552,277,365
"50",871,800,797.5,801,442,146,763,788,534,555,703,827
"51",871,793,797.5,800,363,79,778,790,526,600,644.5,826
"383",871,776,797.5,797,349.5,229.5,850.5,802.5,612.5,778,861.5,917.5
"384",871,776,797.5,797,289,141,669,457,469,778,433.5,570
"385",871,776,797.5,797,349.5,229.5,850.5,802.5,612.5,778,861.5,917.5
"386",871,776,797.5,797,349.5,229.5,850.5,802.5,612.5,778,861.5,917.5
"387",871,776,797.5,797,349.5,229.5,850.5,802.5,612.5,778,861.5,917.5
"388",871,762,797.5,793,301,38,856,815,615,810,799,914
"389",871,771.5,797.5,793,294.5,207.5,667.5,410.5,443.5,798.5,447.5,552.5
"390",871,771.5,797.5,793,294.5,207.5,667.5,410.5,443.5,798.5,447.5,552.5
"111",815,817,790,791,487,88,557,615,436,395.5,319,362.5
"208",771.5,842,785,790,464,690,481,673,467,291,591,432
"307",771.5,832,785,789,624,314,689,823,438,321,697,671
"303",815,773,790,788,220,671,298,412,731,670.5,560,521
"302",815,740.5,790,787,205,622,391,473,747,822.5,724,769
"304",771.5,782,785,786,362,558,180,304,809,592.5,437,362.5
"306",771.5,754,785,785,211,341,307,406,739,715,383.5,457
"305",771.5,740.5,785,784,190,592,368,446,752,816,661.5,709
"52",771.5,725,785,782.5,71,21,874,580,192,900,353,630
"563",771.5,719.5,785,782.5,287,344,711,737,663,915,878,915
"117",704,855,773.5,781,837,270,504,56,425,219,224,230.5
"112",704,850.5,773.5,777.5,832,755.5,442.5,56,472.5,224,415.5,251
"113",704,850.5,773.5,777.5,833,235,806,56,354,224,291.5,262
"114",704,850.5,773.5,777.5,834,405,489,56,442,224,268,236.5
"115",704,850.5,773.5,777.5,835,762.5,547.5,56,421.5,224,469,260
"116",704,850.5,773.5,777.5,836,755.5,442.5,56,472.5,224,420.5,252
"118",704,850.5,773.5,777.5,838,762.5,547.5,56,421.5,224,470,261
"391",704,845.5,773.5,772.5,868,381.5,578.5,56,413.5,240,309,248
"392",704,845.5,773.5,772.5,869,348,517,56,445,240,273,242
"393",704,845.5,773.5,772.5,870,380,514,56,448,240,291.5,245
"394",704,845.5,773.5,772.5,871,381.5,578.5,56,413.5,240,310.5,250
"734",704,829,773.5,770,89,708,599,733,479,316.5,508,499
"119",704,769,773.5,769,225,109,322,430,697,555,235,339
"733",704,750,773.5,768,234,172,332,407,798,680.5,341,462
"308",704,746,773.5,767,52,119,687,745,357,695.5,356,597
"564",704,726,773.5,766,297,345,266,356,805,786,472.5,532
"120",815,823.5,761.5,764.5,145,326,546,645,420,389,272,353
"210",815,823.5,761.5,764.5,381,303,217,392,561,389,206,269
"209",815,729,761.5,761,439,198,181,303,868,747.5,394,426
"309",815,729,761.5,761,328.5,292.5,660.5,711.5,643.5,747.5,777.5,869.5
"310",815,729,761.5,761,328.5,292.5,660.5,711.5,643.5,747.5,777.5,869.5
"311",815,729,761.5,761,328.5,292.5,660.5,711.5,643.5,747.5,777.5,869.5
"312",815,729,761.5,761,328.5,292.5,660.5,711.5,643.5,747.5,777.5,869.5
"313",815,692,761.5,758,341,111,663,725,664,795,738,879
"314",771.5,748,756.5,757,367,175,178,302,821,598,266,320
"54",815,801,754,756,76,260,620,699,410,436.5,287,412
