"","ARI"
"Purity",0.864252491968378
"Fmeasure",0.169173460659608
"RI",0.965320103938738
"ARI",1
"ball_hall",0.0797992261167102
"banfeld_raftery",NA
"c_index",0.0721888414843063
"calinski_harabasz",-0.119191150727991
"davies_bouldin",0.0920985873490087
"det_ratio",0.00133315836999468
"dunn",-0.105623722453795
"gamma",NA
"g_plus",-0.00333185094936133
"gdi11",-0.105623722453795
"gdi12",-0.0832124634688334
"gdi13",-0.0799150302830316
"gdi21",-0.0847020362804272
"gdi22",-0.0164850341893153
"gdi23",-0.00958218023274734
"gdi31",-0.118628966287783
"gdi32",-0.0692489667818021
"gdi33",-0.0630475521622695
"gdi41",-0.106561873306154
"gdi42",-0.06331217279826
"gdi43",-0.0585651636988147
"gdi51",-0.0888790529081807
"gdi52",-0.051952468602092
"gdi53",-0.0468293381418874
"ksq_detw",0.057391724056612
"log_det_ratio",-0.0712762618613592
"log_ss_ratio",-0.094944955757633
"mcclain_rao",0.0478661301059793
"pbm",-0.0688399566823167
"point_biserial",0.0481417974496986
"ray_turi",0.0838263153795657
"ratkowsky_lance",-0.0563120111915414
"scott_symons",NA
"sd_scat",0.162019823387692
"sd_dis",0.0811893985773061
"s_dbw",NA
"silhouette",-0.108247218232963
"tau",0.02286175153166
"trace_w",0.0461522400347905
"trace_wib",-0.104671019140369
"wemmert_gancarski",-0.0474430088317932
"xie_beni",NA
"infomax",0.00193525744065483
"Time",-0.00452638872908875
