"","ARI"
"Purity",0.803137592003443
"Fmeasure",0.280026816216922
"RI",0.874779660116613
"ARI",1
"ball_hall",0.0666784554767352
"banfeld_raftery",NA
"c_index",0.186840893971316
"calinski_harabasz",-0.200513069179662
"davies_bouldin",0.115251671106661
"det_ratio",-0.113719045867823
"dunn",0.109985959304129
"gamma",NA
"g_plus",-0.0042356430470229
"gdi11",0.109985959304129
"gdi12",0.111137562823326
"gdi13",0.110026510426946
"gdi21",-0.21759117667671
"gdi22",-0.136276884362267
"gdi23",-0.150424395009118
"gdi31",-0.128780281024149
"gdi32",-0.0323217671587849
"gdi33",-0.0414802102947564
"gdi41",-0.120928713087194
"gdi42",-0.0336676871642713
"gdi43",-0.0404644982682131
"gdi51",-0.30326236327372
"gdi52",-0.278581886935002
"gdi53",-0.285250507427872
"ksq_detw",0.167070043687201
"log_det_ratio",-0.287103956422089
"log_ss_ratio",-0.284824962491044
"mcclain_rao",0.104174541235625
"pbm",-0.0853852496819531
"point_biserial",0.096891147450718
"ray_turi",0.116216272835886
"ratkowsky_lance",-0.292749819654376
"scott_symons",NA
"sd_scat",0.114166953445505
"sd_dis",0.0791097399870422
"s_dbw",NA
"silhouette",-0.0206797357459176
"tau",-0.0539874197249432
"trace_w",0.138308962511174
"trace_wib",-0.195731909485865
"wemmert_gancarski",-0.17070265402825
"xie_beni",NA
"infomax",-0.20604604250428
"Time",0.0525011606895046
